# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S6,2020,05,06,00,00,01,45.374176,-71.976921,221.899990,14,46.60,6.00,60.00,614.40,5569,0.117432,299,122,117,442,OK
S1,2020,05,06,00,00,04,45.374260,-71.976959,222.000000,14,46.60,6.00,60.00,614.40,2411,0.861165,214,135,105,396,OK
S2,2020,05,06,00,00,06,45.374271,-71.977051,222.200000,14,46.60,6.00,60.00,614.40,2006,0.652398,369,156,104,609,OK
S3,2020,05,06,00,00,09,45.374260,-71.977219,223.899990,14,46.60,6.00,60.00,614.40,4232,0.156576,31,24,21,56,UE
S4,2020,05,06,00,00,11,45.374264,-71.977325,224.800000,14,46.60,6.00,60.00,614.40,2140,1.226508,737,305,202,1189,OK
S5,2020,05,06,00,00,13,45.374275,-71.977478,225.399990,14,46.70,6.10,60.00,614.40,1812,0.208767,71,39,30,115,UE
S6,2020,05,06,00,00,16,45.374287,-71.977562,225.700000,14,46.60,6.00,60.00,614.40,1792,0.117432,89,42,38,139,UE
S1,2020,05,06,00,00,18,45.374344,-71.977646,225.700000,14,46.60,6.00,60.00,614.40,3815,0.234863,50,37,32,102,UE
S2,2020,05,06,00,00,21,45.374409,-71.977654,226.700000,14,46.70,6.10,60.00,614.40,1658,0.417535,157,81,60,267,UE
S3,2020,05,06,00,00,23,45.374519,-71.977654,225.899990,14,46.60,6.00,60.00,614.40,2057,0.521918,168,97,80,269,UE
S4,2020,05,06,00,00,26,45.374607,-71.977646,224.700000,14,46.60,6.00,60.00,614.40,1621,0.430583,196,96,74,324,UE
S5,2020,05,06,00,00,28,45.374683,-71.977646,224.200000,14,46.60,6.00,60.00,614.40,1759,0.287055,102,55,43,165,UE
S6,2020,05,06,00,00,31,45.374798,-71.977646,223.100010,14,46.60,6.00,60.00,614.40,2469,0.013048,27,13,14,40,UE
S1,2020,05,06,00,00,33,45.374851,-71.977638,221.200000,13,46.60,6.00,60.00,614.40,5902,0.117432,24,20,19,52,UE
S2,2020,05,06,00,00,36,45.374977,-71.977608,220.200000,13,46.60,6.00,60.00,614.40,1705,0.247911,112,59,51,173,UE
S3,2020,05,06,00,00,38,45.375046,-71.977585,219.100010,14,46.60,6.00,60.00,614.40,2378,0.626302,170,105,85,311,UE
S4,2020,05,06,00,00,40,45.375145,-71.977554,217.899990,14,46.70,6.00,60.00,614.40,1798,0.534966,181,99,76,309,UE
S5,2020,05,06,00,00,43,45.375195,-71.977509,216.399990,14,46.70,6.00,60.00,614.40,2792,0.378391,89,59,48,162,UE
S6,2020,05,06,00,00,45,45.375225,-71.977379,216.399990,14,46.70,6.00,60.00,614.40,2054,0.013048,15,8,9,23,UE
S1,2020,05,06,00,00,48,45.375225,-71.977272,216.800000,14,46.70,6.00,60.00,614.40,5388,0.130480,23,20,18,51,UE
S2,2020,05,06,00,00,50,45.375221,-71.977097,215.600010,14,46.70,6.00,60.00,614.40,1671,0.287055,125,65,54,196,UE
S3,2020,05,06,00,00,53,45.375217,-71.976982,215.399990,14,46.70,6.00,60.00,614.40,2567,0.404487,115,72,61,176,UE
S4,2020,05,06,00,00,55,45.375210,-71.976891,214.800000,14,46.70,6.00,60.00,614.40,1794,3.731717,1771,776,497,2910,OK
S5,2020,05,06,00,00,58,45.375202,-71.976738,214.600010,14,46.70,6.00,60.00,614.40,2034,9.772922,2396,1426,988,4250,OK
S6,2020,05,06,00,01,00,45.375198,-71.976639,214.300000,14,46.70,6.00,60.00,614.40,2735,0.326199,365,162,152,542,OK
S1,2020,05,06,00,01,03,45.375187,-71.976501,214.100010,14,46.70,6.00,60.00,614.40,2547,1.004693,256,163,132,479,OK
S2,2020,05,06,00,01,05,45.375179,-71.976410,213.399990,14,46.70,6.00,60.00,614.40,2180,1.931098,1175,483,318,1860,OK
S3,2020,05,06,00,01,07,45.375172,-71.976273,212.000000,14,46.70,6.00,60.00,614.40,3664,0.130480,35,24,22,50,UE
S4,2020,05,06,00,01,10,45.375168,-71.976181,211.200000,14,46.70,6.00,60.00,614.40,2029,0.130480,51,29,25,78,UE
S5,2020,05,06,00,01,12,45.375164,-71.976051,211.500000,14,46.70,6.00,60.00,614.40,6417,0.156576,29,25,24,54,UE
S6,2020,05,06,00,01,15,45.375160,-71.975960,211.399990,14,46.70,6.00,60.00,614.40,26233,0.013048,7,5,6,12,UE
S1,2020,05,06,00,01,17,45.375160,-71.975815,211.399990,14,46.70,6.00,60.00,614.40,6277,0.130480,23,20,19,51,UE
S2,2020,05,06,00,01,20,45.375160,-71.975731,210.899990,14,46.70,6.00,60.00,614.40,2629,0.130480,42,26,23,71,UE
S3,2020,05,06,00,01,22,45.375164,-71.975632,211.899990,14,46.70,6.00,60.00,614.40,2274,0.091336,30,18,15,46,UE
S4,2020,05,06,00,01,25,45.375164,-71.975479,211.399990,14,46.70,6.00,60.00,614.40,2496,2.100722,1210,437,185,1886,OK
S5,2020,05,06,00,01,27,45.375168,-71.975372,211.100010,14,46.70,6.00,60.00,614.40,1624,7.776584,1905,923,331,3382,OK
S6,2020,05,06,00,01,30,45.375168,-71.975197,210.700000,14,46.70,6.00,60.00,614.40,4931,0.078288,127,43,28,186,UE
