Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,,
S3,2020,6,18,22,32,1,45.415737,-71.859047,265,11,47.3,24.4,60,614.4,1797,0.822021,251,138,99,442,UE,,
S4,2020,6,18,22,32,4,45.415806,-71.859016,262.70001,11,47.3,24.4,60,614.4,4103,0.652398,876,341,278,1369,OK,,
S5,2020,6,18,22,32,6,45.415878,-71.859009,264.70001,11,47.3,24.4,60,614.4,1947,0.104384,43,24,21,63,UE,,
S6,2020,6,18,22,32,9,45.416004,-71.859001,268,11,47.3,24.4,60,614.4,1624,0.404487,200,98,80,328,UE,,
S1,2020,6,18,22,32,11,45.416088,-71.858986,268.79999,11,47.3,24.3,60,614.4,1971,0.665446,290,161,148,498,OK,,
S2,2020,6,18,22,32,13,45.416233,-71.858978,268.60001,11,47.4,24.4,60,614.4,5460,0.391439,824,292,223,1302,OK,,
S3,2020,6,18,22,32,16,45.416325,-71.858994,270.20001,11,47.3,24.3,60,614.4,1997,0.534966,177,101,83,312,UE,,
S4,2020,6,18,22,32,18,45.416416,-71.859039,273.60001,11,47.3,24.3,60,614.4,1676,4.449355,1955,1019,864,3373,OK,,
S5,2020,6,18,22,32,21,45.416435,-71.859116,275.20001,11,47.3,24.3,60,614.4,3789,0.691542,138,103,88,305,UE,,
S6,2020,6,18,22,32,23,45.416466,-71.859306,274.29999,11,47.4,24.3,60,614.4,1957,0.430583,168,94,82,273,UE,,
S2,2020,6,18,22,32,28,45.416454,-71.859627,276.10001,11,47.4,24.3,60,614.4,4755,0.234863,447,193,193,585,OK,,
S3,2020,6,18,22,32,31,45.416466,-71.859772,276.79999,11,47.5,24.3,60,614.4,1692,7.698296,1540,817,272,2896,OK,,
S4,2020,6,18,22,32,33,45.416466,-71.859901,276.5,11,47.5,24.3,60,614.4,2092,0.613254,392,167,121,642,OK,,
S5,2020,6,18,22,32,35,45.416473,-71.8601,277.70001,11,47.5,24.3,60,614.4,2310,1.356988,279,180,122,557,OK,,
S6,2020,6,18,22,32,38,45.416492,-71.860207,278.5,11,47.5,24.3,60,614.4,1686,0.221815,84,44,34,140,UE,,
S1,2020,6,18,22,32,40,45.416534,-71.860352,280.10001,11,47.5,24.3,60,614.4,1991,0.156576,66,37,33,106,UE,,
S2,2020,6,18,22,32,43,45.41655,-71.860443,280.20001,11,47.6,24.3,60,614.4,1623,0.247911,115,56,43,194,UE,,
S3,2020,6,18,22,32,45,45.416527,-71.860527,279.60001,11,47.6,24.2,60,614.4,3118,3.953532,3619,1406,1012,5581,OK,,
S4,2020,6,18,22,32,48,45.416466,-71.860535,278.39999,11,47.7,24.3,60,614.4,1621,0.182671,101,50,43,155,UE,,
S2,2020,6,18,22,32,58,45.416454,-71.860062,275.39999,11,47.8,24.2,60,614.4,2770,0.365343,331,136,107,507,OK,,
S3,2020,6,18,22,33,0,45.416454,-71.859917,274.29999,11,47.8,24.2,60,614.4,2300,0.482775,95,62,40,184,UE,,
S4,2020,6,18,22,33,2,45.416489,-71.859711,274.89999,11,47.9,24.2,60,614.4,1639,0.391439,184,94,79,320,UE,,
S5,2020,6,18,22,33,5,45.416489,-71.859573,274.60001,11,48,24.2,60,614.4,3611,0.156576,51,33,32,66,UE,,
S6,2020,6,18,22,33,7,45.416481,-71.85939,273.29999,11,48,24.2,60,614.4,2195,0.534966,408,179,149,641,OK,,
S1,2020,6,18,22,33,10,45.416473,-71.859291,272.60001,11,48.1,24.2,60,614.4,5456,3.77086,7961,2890,2306,12031,OK,,
S2,2020,6,18,22,33,12,45.416504,-71.859177,272.10001,11,48.1,24.2,60,614.4,5762,0.952501,2452,873,695,3824,OK,,
S3,2020,6,18,22,33,15,45.416561,-71.859123,271.39999,11,48.2,24.2,60,614.4,4605,0.861165,153,124,109,371,OK,,
S4,2020,6,18,22,33,17,45.416691,-71.859085,270.39999,11,48.2,24.2,60,614.4,2279,0.691542,177,109,84,348,UE,,
S5,2020,6,18,22,33,20,45.416794,-71.859077,270,11,48.3,24.2,60,614.4,5016,0.848117,117,108,91,299,UE,,
S6,2020,6,18,22,33,22,45.416897,-71.85907,269,11,48.2,24.1,60,614.4,2015,0.913357,226,134,92,415,UE,,
S2,2020,6,18,22,33,27,45.417175,-71.859055,268.89999,11,48.3,24.2,60,614.4,2016,0.469727,128,75,55,236,UE,,
S3,2020,6,18,22,33,29,45.417332,-71.859062,270.70001,11,48.4,24.2,60,614.4,2131,0.195719,67,39,33,104,UE,,
S4,2020,6,18,22,33,32,45.417408,-71.859085,272,11,48.4,24.2,60,614.4,2760,0.76983,677,278,218,1062,OK,,
S5,2020,6,18,22,33,34,45.417469,-71.859207,272.70001,11,48.4,24.1,60,614.4,1873,0.300103,187,84,66,298,UE,,
S2,2020,6,18,22,33,42,45.417503,-71.859711,274.60001,11,48.5,24.1,60,614.4,3188,0.300103,64,45,37,106,UE,,
S4,2020,6,18,22,33,47,45.417583,-71.860001,277.39999,12,48.5,24.1,60,614.4,2485,0.339247,255,104,75,393,UE,,
S6,2020,6,18,22,33,51,45.417831,-71.8601,277.10001,12,48.6,24.1,60,614.4,2043,0.417535,108,64,46,196,UE,,
S1,2020,6,18,22,33,54,45.41795,-71.8601,277.89999,12,48.6,24.1,60,614.4,1701,8.807373,2814,1488,1038,4981,OK,,
S2,2020,6,18,22,33,56,45.418121,-71.860107,278.60001,12,48.6,24.1,60,614.4,1943,0.900309,256,147,108,452,OK,,
S3,2020,6,18,22,33,59,45.418232,-71.860115,278.89999,12,48.7,24.1,60,614.4,1661,1.40918,615,286,196,1013,OK,,
S4,2020,6,18,22,34,1,45.418392,-71.8601,274.39999,12,48.8,24.1,60,614.4,1784,0.678494,214,117,85,382,UE,,
S5,2020,6,18,22,34,4,45.418507,-71.8601,274.5,12,48.8,24.1,60,614.4,3386,2.074625,289,238,167,674,OK,,
S6,2020,6,18,22,34,6,45.418663,-71.8601,274.5,12,48.9,24.1,60,614.4,2816,0.234863,46,32,24,90,UE,,
S1,2020,6,18,22,34,9,45.418747,-71.860077,275,12,49,24.1,60,614.4,1713,1.004693,470,248,220,786,OK,,
S2,2020,6,18,22,34,11,45.4188,-71.860069,275.10001,12,49.1,24.1,60,614.4,1824,0.730686,218,121,87,406,UE,,
S3,2020,6,18,22,34,14,45.418865,-71.860039,274.5,12,49.1,24.1,60,614.4,2507,0.091336,82,35,29,127,UE,,
S4,2020,6,18,22,34,16,45.418903,-71.859962,275.29999,12,49.2,24.1,60,614.4,2001,0.417535,261,113,83,407,UE,,
S5,2020,6,18,22,34,18,45.418949,-71.859741,277,12,49.2,24.1,60,614.4,2250,1.265652,307,190,141,588,OK,,
S6,2020,6,18,22,34,21,45.418949,-71.859589,276.70001,12,49.2,24.1,60,614.4,1736,0.247911,82,44,32,139,UE,,
S1,2020,6,18,22,34,23,45.418907,-71.85936,275.79999,12,49.2,24.1,60,614.4,2324,1.096029,283,175,137,465,OK,,
S2,2020,6,18,22,34,26,45.418835,-71.859245,274.70001,12,49.2,24,60,614.4,1776,0.939453,536,245,191,874,OK,,
S3,2020,6,18,22,34,28,45.418678,-71.8592,274.70001,12,49.5,24.1,60,614.4,2788,1.356988,219,161,107,483,OK,,
S4,2020,6,18,22,34,31,45.41856,-71.8592,275.10001,12,49.7,24.1,60,614.4,1714,1.839762,598,318,227,1077,OK,,
