Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,,
S4,2020,6,18,23,7,10,45.420147,-71.827644,263.79999,20,68.2,18.9,60,614.4,3280,0.691542,162,112,96,268,UE,,
S5,2020,6,18,23,7,13,45.420048,-71.827728,263.79999,20,68.3,19,60,614.4,4318,0.234863,39,32,27,69,UE,,
S2,2020,6,18,23,7,20,45.419662,-71.828011,266,20,68.3,19,60,614.4,3061,0.313151,63,45,35,121,UE,,
S3,2020,6,18,23,7,22,45.419487,-71.828133,265.5,20,68.2,19,60,614.4,5825,0.234863,51,40,39,62,UE,,
S4,2020,6,18,23,7,25,45.419388,-71.828217,265.10001,20,68.2,18.9,60,614.4,2850,0.848117,209,138,115,359,OK,,
S5,2020,6,18,23,7,27,45.419285,-71.828346,264.29999,15,68.2,19,60,614.4,3115,2.035482,376,274,210,757,OK,,
S6,2020,6,18,23,7,30,45.419266,-71.82843,264.20001,20,68.2,19,60,614.4,3125,0.247911,51,36,29,89,UE,,
S2,2020,6,18,23,7,35,45.419273,-71.828445,263.39999,20,68.2,19,60,614.4,4158,0.456679,132,90,87,162,UE,,
S3,2020,6,18,23,7,37,45.419273,-71.82843,263.39999,20,68.2,19,60,614.4,2783,1.161268,281,185,152,475,OK,,
S4,2020,6,18,23,7,40,45.419273,-71.82843,263.5,20,68.2,19,60,614.4,3448,1.826714,402,285,244,729,OK,,
S5,2020,6,18,23,7,42,45.419277,-71.828461,263,20,68.2,18.9,60,614.4,2167,3.653429,946,572,431,1722,OK,,
S6,2020,6,18,23,7,44,45.419346,-71.828522,262.70001,20,68.2,19,60,614.4,2535,0.717638,155,102,76,288,UE,,
S1,2020,6,18,23,7,47,45.419437,-71.828499,262.60001,20,68.2,19,60,614.4,1691,8.285454,2664,1401,971,4718,OK,,
S2,2020,6,18,23,7,49,45.419613,-71.828423,261.89999,20,68.1,19,60,614.4,2318,6.96761,1666,1044,782,3322,OK,,
S3,2020,6,18,23,7,52,45.419724,-71.828369,261.60001,20,68.2,19,60,614.4,2925,2.244249,419,299,223,794,OK,,
S4,2020,6,18,23,7,54,45.419861,-71.828339,261.10001,20,68.4,19,60,614.4,4685,12.330321,1470,1420,1119,3929,OK,,
S5,2020,6,18,23,7,57,45.419922,-71.828415,260.60001,20,68.4,19,60,614.4,3832,12.173746,1461,1329,942,3629,OK,,
S6,2020,6,18,23,7,59,45.419952,-71.828613,260.60001,20,68.4,19,60,614.4,1704,1.578803,479,254,169,830,OK,,
S2,2020,6,18,23,8,4,45.419971,-71.828896,259.89999,20,68.3,19,60,614.4,57317,853.57141,878,189,180,1143,OK,,
S3,2020,6,18,23,8,7,45.419987,-71.829102,259.5,20,68.2,19,60,614.4,4060,0.208767,36,29,24,70,UE,,
S5,2020,6,18,23,8,11,45.42001,-71.829445,259.10001,20,68.1,19,60,614.4,4071,0.495822,65,58,44,145,UE,,
S1,2020,6,18,23,8,16,45.420029,-71.829788,257.89999,20,68,19,60,614.4,2055,2.531304,773,449,360,1347,OK,,
S2,2020,6,18,23,8,19,45.420036,-71.829941,257.60001,20,67.9,19,60,614.4,1657,3.144558,1603,763,604,2723,OK,,
S3,2020,6,18,23,8,21,45.420048,-71.830193,257.10001,20,67.8,19,60,614.4,5243,0.326199,40,40,33,95,UE,,
S5,2020,6,18,23,8,26,45.42009,-71.830582,256.79999,20,67.8,19,60,614.4,3680,0.287055,48,38,30,98,UE,,
S1,2020,6,18,23,8,31,45.420147,-71.830887,255.3,20,67.8,19,60,614.4,2271,1.174316,334,202,164,569,OK,,
S2,2020,6,18,23,8,34,45.4202,-71.831123,254.7,20,67.8,19,60,614.4,1622,2.896647,1389,681,548,2399,OK,,
S4,2020,6,18,23,8,38,45.420273,-71.831505,252.8,20,67.7,19,60,614.4,1647,1.957194,746,382,287,1282,OK,,
S5,2020,6,18,23,8,41,45.4203,-71.831665,252,20,67.7,19,60,614.4,1958,2.061578,687,389,318,1166,OK,,
S4,2020,6,18,23,8,53,45.419937,-71.831924,252.60001,20,67.6,19,60,614.4,1664,2.766167,1182,547,365,1990,OK,,
S2,2020,6,18,23,9,3,45.41975,-71.832466,251.89999,20,67.4,19,60,614.4,1822,0.274007,139,61,41,208,UE,,
S4,2020,6,18,23,9,8,45.419792,-71.832909,250.5,20,67.4,19.1,60,614.4,1742,0.247911,103,55,46,142,UE,,
S5,2020,6,18,23,9,10,45.419811,-71.833183,250,20,67.4,19.1,60,614.4,2870,0.626302,194,122,111,259,OK,,
S6,2020,6,18,23,9,13,45.419823,-71.833359,249.8,20,67.4,19.1,60,614.4,1862,0.600206,252,103,47,408,UE,,
S1,2020,6,18,23,9,15,45.419842,-71.833588,249.8,20,67.3,19,60,614.4,1630,1.396132,320,157,50,598,UE,,
S2,2020,6,18,23,9,18,45.419853,-71.833725,248.60001,20,67.4,19.1,60,614.4,5276,0.626302,1126,344,176,1635,OK,,
S3,2020,6,18,23,9,20,45.419872,-71.833954,248.60001,20,67.4,19.1,60,614.4,5180,0.326199,47,43,37,114,UE,,
S4,2020,6,18,23,9,23,45.419903,-71.834106,248,20,67.3,19,60,614.4,2480,1.082981,621,225,96,989,UE,,
S2,2020,6,18,23,9,32,45.420399,-71.83416,246.5,20,67.3,19.1,60,614.4,1620,0.260959,131,65,54,184,UE,,
S3,2020,6,18,23,9,35,45.42046,-71.834084,245.89999,20,67.3,19,60,614.4,2071,0.378391,95,57,40,171,UE,,
S4,2020,6,18,23,9,37,45.420464,-71.833885,246.3,20,67.3,19,60,614.4,2966,0.313151,58,42,31,114,UE,,
S5,2020,6,18,23,9,40,45.420448,-71.83374,246.39999,20,67.4,19.1,60,614.4,4795,0.469727,52,53,41,131,UE,,
S2,2020,6,18,23,9,47,45.420528,-71.833656,246.2,20,67.4,19.1,60,614.4,2391,0.156576,61,36,33,82,UE,,
S3,2020,6,18,23,9,50,45.420528,-71.833672,245.8,20,67.3,19.1,60,614.4,4651,0.247911,32,30,24,80,UE,,
S4,2020,6,18,23,9,52,45.420528,-71.833733,245.2,20,67.3,19.1,60,614.4,1629,0.182671,81,39,29,120,UE,,
S5,2020,6,18,23,9,54,45.420521,-71.833916,245.2,20,67.2,19.1,60,614.4,3416,0.13048,36,24,22,51,UE,,
S6,2020,6,18,23,9,57,45.420536,-71.83403,245.3,20,67.2,19.1,60,614.4,1764,0.456679,132,72,48,232,UE,,
S1,2020,6,18,23,9,59,45.420639,-71.834114,244,20,67.2,19.1,60,614.4,2207,0.391439,100,61,46,186,UE,,
S2,2020,6,18,23,10,2,45.420738,-71.834114,243.7,20,67.2,19.1,60,614.4,1989,0.561062,330,142,101,509,OK,,
S3,2020,6,18,23,10,4,45.420891,-71.834084,244,20,67.1,19.1,60,614.4,4685,0.404487,93,69,65,122,UE,,
S4,2020,6,18,23,10,7,45.421001,-71.834053,244.10001,20,67.2,19.1,60,614.4,1621,0.469727,197,96,70,327,UE,,
S5,2020,6,18,23,10,9,45.421131,-71.833961,244.10001,20,67.1,19.1,60,614.4,1759,5.427951,1692,917,658,2972,OK,,
S4,2020,6,18,23,10,21,45.42107,-71.832993,246.3,20,67,19.1,60,614.4,1626,9.498915,3389,1605,963,5799,OK,,
S5,2020,6,18,23,10,24,45.421055,-71.832809,247.2,20,67,19.1,60,614.4,2223,4.566786,1051,654,465,1888,OK,,
S3,2020,6,18,23,10,34,45.420975,-71.831963,251.5,20,66.8,19.1,60,614.4,1646,6.693604,2712,1266,825,4508,OK,,
S4,2020,6,18,23,10,36,45.420956,-71.831718,251.5,20,66.8,19.1,60,614.4,1731,0.143528,82,38,30,121,UE,,
S6,2020,6,18,23,10,41,45.42094,-71.831367,253,20,66.8,19.1,60,614.4,1624,0.665446,287,139,102,486,OK,,
S1,2020,6,18,23,10,44,45.420929,-71.831085,254.2,20,66.8,19.1,60,614.4,1889,1.644043,598,332,278,1059,OK,,
S2,2020,6,18,23,10,46,45.420918,-71.830894,255.10001,20,66.8,19.1,60,614.4,2437,0.313151,227,92,64,363,UE,,
S4,2020,6,18,23,10,51,45.420895,-71.830437,256.29999,20,66.8,19.1,60,614.4,1640,0.495822,221,105,76,344,UE,,
S4,2020,6,18,23,11,6,45.420818,-71.829117,257.70001,20,66.9,19.1,60,614.4,2353,0.195719,150,63,48,228,UE,,
S5,2020,6,18,23,11,8,45.420807,-71.828949,257.70001,20,66.9,19.1,60,614.4,5190,0.169623,40,30,29,52,UE,,
S6,2020,6,18,23,11,11,45.420795,-71.828735,258,20,67,19.1,60,614.4,1620,0.57411,239,118,88,403,UE,,
S1,2020,6,18,23,11,13,45.420792,-71.828667,258,20,67,19.1,60,614.4,2057,3.522949,1142,659,545,1978,OK,,
S2,2020,6,18,23,11,15,45.420784,-71.828598,258.10001,20,67,19.1,60,614.4,1621,0.352295,170,85,71,251,UE,,
S3,2020,6,18,23,11,18,45.42078,-71.82856,258.10001,20,67.1,19.1,60,614.4,2038,0.469727,135,79,60,234,UE,,
S4,2020,6,18,23,11,20,45.42078,-71.828552,258.39999,20,67.2,19.1,60,614.4,1728,0.469727,252,116,88,416,UE,,
S5,2020,6,18,23,11,23,45.42078,-71.828545,258.70001,20,67.2,19.1,60,614.4,1762,10.190456,3195,1733,1252,5607,OK,,
S6,2020,6,18,23,11,25,45.420776,-71.828468,258.70001,20,67.2,19.1,60,614.4,1742,0.874213,298,160,121,511,OK,,
S1,2020,6,18,23,11,28,45.420776,-71.828445,258.89999,20,67.2,19.1,60,614.4,1942,1.865858,791,438,398,1382,OK,,
S2,2020,6,18,23,11,30,45.420773,-71.828445,258.89999,20,67.2,19.1,60,614.4,1905,5.636718,3183,1392,999,5557,OK,,
S3,2020,6,18,23,11,33,45.420769,-71.828445,259.60001,20,67.2,19.1,60,614.4,2381,0.548014,127,81,60,238,UE,,
S4,2020,6,18,23,11,35,45.420769,-71.828438,259.70001,20,67.2,19.1,60,614.4,1699,1.056885,412,217,174,712,OK,,
S5,2020,6,18,23,11,38,45.420761,-71.828346,259.79999,20,67.2,19.1,60,614.4,3208,1.970242,232,201,123,512,OK,,
S6,2020,6,18,23,11,40,45.42075,-71.828239,260.10001,20,67.2,19.2,60,614.4,1627,0.613254,270,130,95,444,UE,,
S1,2020,6,18,23,11,42,45.420734,-71.828125,260.20001,20,67.1,19.1,60,614.4,1761,11.651828,3224,1759,1142,5742,OK,,
S2,2020,6,18,23,11,45,45.420734,-71.828087,260.29999,20,67.2,19.2,60,614.4,1680,3.666477,1278,668,489,2311,OK,,
S3,2020,6,18,23,11,47,45.420773,-71.827965,260.29999,20,67,19.1,60,614.4,1821,0.221815,86,47,39,144,UE,,
S4,2020,6,18,23,11,50,45.420853,-71.827873,260.20001,20,67.1,19.2,60,614.4,2438,3.066271,820,511,416,1661,OK,,
S5,2020,6,18,23,11,52,45.421062,-71.827759,260.20001,20,67,19.1,60,614.4,6554,1.944146,315,285,270,825,OK,,
S6,2020,6,18,23,11,55,45.421223,-71.827713,260.39999,20,67.2,19.1,60,614.4,2359,0.587158,135,86,63,252,UE,,
S1,2020,6,18,23,11,57,45.42141,-71.827744,260.5,20,67.6,19.2,60,614.4,3480,0.548014,101,76,61,197,UE,,
S2,2020,6,18,23,12,0,45.421474,-71.827866,259.79999,20,67.6,19.1,60,614.4,1623,1.461371,628,314,245,1112,OK,,
S3,2020,6,18,23,12,2,45.421501,-71.828026,258.70001,20,67.6,19.1,60,614.4,3949,0.430583,100,72,65,217,UE,,
S4,2020,6,18,23,12,4,45.421516,-71.828285,257.29999,20,67.6,19.2,60,614.4,2522,0.313151,244,100,74,380,UE,,
S5,2020,6,18,23,12,7,45.421528,-71.828468,257,20,67.5,19.1,60,614.4,1689,0.260959,133,62,47,202,UE,,
S6,2020,6,18,23,12,9,45.421547,-71.828743,256.70001,20,67.4,19.2,60,614.4,1719,0.117432,49,26,21,81,UE,,
S2,2020,6,18,23,12,14,45.421577,-71.829185,256.5,20,67.4,19.2,60,614.4,2162,0.156576,126,56,48,178,UE,,
S3,2020,6,18,23,12,17,45.421585,-71.829353,255.89999,20,67.4,19.2,60,614.4,1635,5.780246,2190,1109,814,3768,OK,,
S4,2020,6,18,23,12,19,45.421593,-71.829597,255.89999,20,67.3,19.1,60,614.4,1862,0.417535,121,68,49,211,UE,,
S5,2020,6,18,23,12,22,45.421604,-71.829773,255,20,67.4,19.2,60,614.4,2714,0.939453,167,118,82,344,UE,,
S2,2020,6,18,23,12,29,45.421638,-71.830391,253.2,20,67.5,19.2,60,614.4,2132,0.260959,103,59,53,140,UE,,
S3,2020,6,18,23,12,31,45.421661,-71.830666,251.5,20,67.5,19.2,60,614.4,1938,3.183702,947,540,411,1733,OK,,
S4,2020,6,18,23,12,34,45.421677,-71.830864,250,20,67.5,19.1,60,614.4,1812,0.104384,48,26,23,65,UE,,
S1,2020,6,18,23,12,41,45.421719,-71.831657,247,20,67.7,19.1,60,614.4,2798,0.456679,134,85,75,213,UE,,
S2,2020,6,18,23,12,44,45.421726,-71.831825,246.7,20,67.8,19.2,60,614.4,1654,0.521918,321,156,139,513,OK,,
S3,2020,6,18,23,12,46,45.421741,-71.832047,246.7,20,67.8,19.2,60,614.4,2187,0.287055,123,70,66,177,UE,,
S4,2020,6,18,23,12,49,45.421753,-71.832176,246.7,20,67.8,19.2,60,614.4,2007,0.13048,98,44,37,140,UE,,
S5,2020,6,18,23,12,51,45.421757,-71.832253,246.7,20,67.8,19.2,60,614.4,1779,0.091336,60,28,24,87,UE,,
S2,2020,6,18,23,12,58,45.421848,-71.832741,246.89999,20,67.6,19.1,60,614.4,1621,0.13048,85,43,41,106,UE,,
S3,2020,6,18,23,13,1,45.421875,-71.832832,246.8,20,67.6,19.1,60,614.4,1698,0.326199,108,57,40,176,UE,,
S4,2020,6,18,23,13,3,45.421864,-71.832916,247.60001,15,67.7,19.2,60,614.4,1845,1.474419,441,246,180,760,OK,,
S5,2020,6,18,23,13,6,45.421829,-71.832939,248.39999,20,67.6,19.2,60,614.4,2130,1.722331,461,276,209,824,OK,,
S6,2020,6,18,23,13,8,45.421795,-71.832893,249.60001,20,67.6,19.2,60,614.4,2173,0.274007,69,42,31,117,UE,,
S2,2020,6,18,23,13,13,45.421791,-71.83271,249.39999,20,67.5,19.2,60,614.4,2448,0.260959,180,72,48,274,UE,,
S4,2020,6,18,23,13,18,45.421757,-71.832451,248.60001,20,67.4,19.2,60,614.4,5060,0.756782,1340,490,383,2012,OK,,
S5,2020,6,18,23,13,21,45.421738,-71.832184,248.3,20,67.3,19.2,60,614.4,2413,0.874213,369,214,206,596,OK,,
S6,2020,6,18,23,13,23,45.421726,-71.832016,248.2,15,67.2,19.2,60,614.4,1686,0.234863,133,63,52,211,UE,,
S1,2020,6,18,23,13,25,45.421764,-71.831818,248.3,20,67.2,19.2,60,614.4,2163,0.313151,130,74,69,224,UE,,
S2,2020,6,18,23,13,28,45.421841,-71.831741,248.7,20,67.2,19.2,60,614.4,5201,0.365343,701,252,193,1070,OK,,
S4,2020,6,18,23,13,33,45.422119,-71.831696,248.2,20,67.1,19.2,60,614.4,1629,1.043837,456,219,160,772,OK,,
S5,2020,6,18,23,13,35,45.422283,-71.831665,248.2,20,67,19.2,60,614.4,4226,1.187364,177,151,122,388,OK,,
S6,2020,6,18,23,13,38,45.422363,-71.831635,248.39999,20,67,19.2,60,614.4,1812,0.208767,71,39,30,121,UE,,
S1,2020,6,18,23,13,40,45.422417,-71.831482,248.8,20,67,19.2,60,614.4,2059,2.42692,798,460,383,1431,OK,,
S2,2020,6,18,23,13,43,45.422413,-71.831329,248.89999,15,67,19.2,60,614.4,2368,0.300103,217,89,63,347,UE,,
S4,2020,6,18,23,13,48,45.422382,-71.830879,249.7,20,67,19.2,60,614.4,1639,0.443631,209,100,76,330,UE,,
S5,2020,6,18,23,13,50,45.422379,-71.830704,249.89999,20,67,19.2,60,614.4,3468,0.13048,39,26,24,52,UE,,
S6,2020,6,18,23,13,52,45.422371,-71.830444,250.60001,15,67,19.2,60,614.4,2247,0.352295,101,61,49,170,UE,,
S2,2020,6,18,23,13,57,45.422359,-71.830032,252.10001,15,66.9,19.2,60,614.4,1620,0.13048,61,30,23,97,UE,,
S3,2020,6,18,23,14,0,45.422356,-71.829865,252.7,15,66.9,19.2,60,614.4,8539,0.156576,26,25,25,50,UE,,
S4,2020,6,18,23,14,2,45.422337,-71.829613,252.7,15,66.9,19.2,60,614.4,2699,0.691542,182,117,98,311,UE,,
S6,2020,6,18,23,14,7,45.422314,-71.829201,254.10001,20,66.9,19.2,60,614.4,1635,0.678494,272,138,105,456,OK,,
S1,2020,6,18,23,14,10,45.422298,-71.829025,254.89999,20,66.9,19.2,60,614.4,1872,3.535997,1176,655,520,2082,OK,,
S2,2020,6,18,23,14,12,45.422287,-71.828842,255.2,20,66.9,19.2,60,614.4,4557,0.234863,347,127,95,532,UE,,
S3,2020,6,18,23,14,14,45.422268,-71.828568,256.10001,15,66.9,19.2,60,614.4,1999,0.874213,371,207,190,716,OK,,
S4,2020,6,18,23,14,17,45.42226,-71.828392,256.5,15,66.9,19.2,60,614.4,2140,0.808973,258,151,126,433,OK,,
S5,2020,6,18,23,14,19,45.422241,-71.82814,256.89999,20,66.9,19.2,60,614.4,1780,0.260959,158,73,60,249,UE,,
S2,2020,6,18,23,14,27,45.422241,-71.827873,257.60001,20,67,19.2,60,614.4,1742,0.313151,139,74,65,208,UE,,
S3,2020,6,18,23,14,29,45.422218,-71.827888,257.60001,20,67,19.2,60,614.4,2713,0.221815,73,45,41,103,UE,,
S4,2020,6,18,23,14,32,45.422207,-71.827896,257.70001,20,67,19.2,60,614.4,3518,0.652398,145,103,89,243,UE,,
S1,2020,6,18,23,14,39,45.422256,-71.828262,256.70001,20,67,19.2,60,614.4,1675,7.332953,2498,1302,931,4301,OK,,
S2,2020,6,18,23,14,41,45.422264,-71.82859,255.8,20,67,19.2,60,614.4,1839,0.795925,452,202,151,715,OK,,
S3,2020,6,18,23,14,44,45.422276,-71.828796,255.3,20,67.2,19.2,60,614.4,1721,0.182671,85,45,39,128,UE,,
S4,2020,6,18,23,14,46,45.422298,-71.829124,254.5,20,67.4,19.2,60,614.4,3190,0.835069,164,118,94,300,UE,,
S5,2020,6,18,23,14,49,45.422314,-71.829353,254,20,67.5,19.2,60,614.4,3341,0.260959,40,32,23,73,UE,,
S2,2020,6,18,23,14,56,45.422382,-71.830238,252.3,20,67.7,19.2,60,614.4,2902,0.156576,55,34,32,70,UE,,
S3,2020,6,18,23,14,59,45.422401,-71.83049,249.60001,20,67.8,19.2,60,614.4,3711,0.234863,57,40,36,82,UE,,
S4,2020,6,18,23,15,1,45.422409,-71.830734,248.89999,20,68,19.2,60,614.4,3027,0.600206,152,101,87,259,UE,,
S5,2020,6,18,23,15,4,45.422424,-71.831116,247.60001,20,68.1,19.2,60,614.4,6547,0.13048,29,23,23,36,UE,,
S6,2020,6,18,23,15,6,45.422432,-71.831367,246.8,20,68.2,19.2,60,614.4,1653,0.730686,280,144,109,473,OK,,
S1,2020,6,18,23,15,8,45.422443,-71.831757,246.10001,20,68.3,19.2,60,614.4,2062,1.78757,508,298,230,884,OK,,
S2,2020,6,18,23,15,11,45.422455,-71.832016,245.3,20,68.3,19.2,60,614.4,1682,0.626302,266,139,115,382,OK,,
S3,2020,6,18,23,15,13,45.422489,-71.832397,244.60001,20,68.3,19.2,60,614.4,2529,0.665446,162,104,82,264,UE,,
S4,2020,6,18,23,15,16,45.422504,-71.832634,244.10001,20,68.3,19.2,60,614.4,2876,0.613254,161,105,90,276,UE,,
S6,2020,6,18,23,15,21,45.422543,-71.833206,242.39999,20,68.4,19.3,60,614.4,2089,0.430583,124,73,57,211,UE,,
S2,2020,6,18,23,15,26,45.422527,-71.833687,240.5,20,68.3,19.3,60,614.4,3388,0.13048,55,34,34,66,UE,,
S3,2020,6,18,23,15,28,45.422443,-71.833809,239.8,20,68.2,19.2,60,614.4,2853,0.182671,61,38,35,84,UE,,
S4,2020,6,18,23,15,31,45.422268,-71.833885,239.89999,20,68.2,19.2,60,614.4,1659,0.156576,84,40,32,126,UE,,
S1,2020,6,18,23,15,38,45.421875,-71.833992,241.10001,20,68,19.2,60,614.4,2479,0.848117,211,134,106,375,OK,,
S2,2020,6,18,23,15,40,45.42181,-71.834175,240.3,20,67.9,19.3,60,614.4,1623,0.221815,98,49,38,161,UE,,
S4,2020,6,18,23,15,45,45.421806,-71.834602,239,20,67.7,19.2,60,614.4,1622,3.105414,922,450,236,1688,OK,,
S6,2020,6,18,23,15,50,45.421783,-71.835091,237.60001,20,67.7,19.2,60,614.4,2163,0.352295,67,43,25,133,UE,,
S1,2020,6,18,23,15,53,45.421783,-71.835274,236.89999,20,67.7,19.2,60,614.4,1895,4.958225,1171,677,421,2162,OK,,
S2,2020,6,18,23,15,55,45.421799,-71.835457,236.10001,20,67.7,19.2,60,614.4,1697,7.411241,3095,1393,855,5351,OK,,
S3,2020,6,18,23,15,58,45.421844,-71.835739,235.39999,20,67.7,19.2,60,614.4,5176,0.143528,33,25,24,43,UE,,
S4,2020,6,18,23,16,0,45.421886,-71.835922,234.8,20,67.6,19.2,60,614.4,2379,0.117432,40,24,21,58,UE,,
S6,2020,6,18,23,16,5,45.422054,-71.836349,234.8,20,67.7,19.2,60,614.4,1674,0.13048,76,36,29,124,UE,,
S1,2020,6,18,23,16,7,45.422165,-71.836594,234.60001,20,67.6,19.2,60,614.4,1764,3.105414,1369,733,648,2397,OK,,
S2,2020,6,18,23,16,10,45.422234,-71.836754,234.39999,20,67.6,19.2,60,614.4,4814,0.169623,294,110,88,438,UE,,
S4,2020,6,18,23,16,15,45.422382,-71.837128,234.2,20,67.6,19.2,60,614.4,1680,0.521918,263,123,93,423,UE,,
S5,2020,6,18,23,16,17,45.422466,-71.837341,234,20,67.6,19.2,60,614.4,3076,0.430583,131,84,77,176,UE,,
S6,2020,6,18,23,16,20,45.422527,-71.837486,233.5,20,67.6,19.2,60,614.4,1850,0.469727,151,84,64,257,UE,,
S2,2020,6,18,23,16,25,45.422672,-71.837875,232,20,67.5,19.2,60,614.4,1922,0.156576,65,36,32,91,UE,,
S3,2020,6,18,23,16,27,45.422729,-71.838005,231.3,14,67.4,19.2,60,614.4,4617,0.260959,46,38,33,91,UE,,
S4,2020,6,18,23,16,29,45.422821,-71.838226,229.8,15,67.4,19.2,60,614.4,1693,4.305827,1971,903,621,3420,OK,,
S5,2020,6,18,23,16,32,45.42289,-71.838379,228.2,20,67.4,19.2,60,614.4,3476,0.717638,131,99,79,279,UE,,
S2,2020,6,18,23,16,39,45.423119,-71.839027,224.39999,20,67.2,19.2,60,614.4,2185,0.313151,104,61,52,155,UE,,
S3,2020,6,18,23,16,42,45.423161,-71.839203,220,20,67.2,19.2,60,614.4,2742,0.534966,163,102,91,225,UE,,
S4,2020,6,18,23,16,44,45.423191,-71.839447,219.60001,20,67.2,19.2,60,614.4,1623,0.339247,129,64,44,208,UE,,
S2,2020,6,18,23,16,54,45.423103,-71.84008,220.7,20,67.1,19.2,60,614.4,2096,0.313151,190,79,52,305,UE,,
S4,2020,6,18,23,16,59,45.422817,-71.840065,224.3,20,67,19.2,60,614.4,2990,0.287055,264,104,76,399,UE,,
S5,2020,6,18,23,17,1,45.422607,-71.840065,226.3,20,67,19.2,60,614.4,1671,0.117432,50,26,21,77,UE,,
S6,2020,6,18,23,17,4,45.422482,-71.840057,226.8,20,66.9,19.2,60,614.4,1681,0.730686,239,125,86,410,UE,,
S2,2020,6,18,23,17,9,45.422379,-71.839714,226.3,20,66.8,19.2,60,614.4,2369,0.143528,100,41,29,156,UE,,
S4,2020,6,18,23,17,14,45.422386,-71.839279,227,20,66.9,19.2,60,614.4,2658,2.374729,1972,810,623,3233,OK,,
S5,2020,6,18,23,17,16,45.422337,-71.839134,227.60001,15,67,19.3,60,614.4,2928,0.300103,64,44,35,132,UE,,
S1,2020,6,18,23,17,21,45.422066,-71.839058,228.8,20,67,19.2,60,614.4,2153,0.482775,173,100,88,282,UE,,
S2,2020,6,18,23,17,23,45.421879,-71.839058,229.3,20,67,19.2,60,614.4,1800,4.397162,2700,1242,1019,4490,OK,,
S3,2020,6,18,23,17,26,45.421753,-71.83905,229.5,20,67,19.2,60,614.4,1621,0.182671,88,44,36,136,UE,,
S4,2020,6,18,23,17,28,45.421593,-71.838959,229.3,20,66.9,19.2,60,614.4,1637,6.667507,2594,1217,775,4422,OK,,
S5,2020,6,18,23,17,31,45.421532,-71.838821,229.3,20,66.9,19.2,60,614.4,2164,0.234863,75,44,37,110,UE,,
S3,2020,6,18,23,17,41,45.421585,-71.838104,230.2,20,66.8,19.2,60,614.4,1976,0.104384,78,35,29,120,UE,,
S4,2020,6,18,23,17,43,45.421665,-71.838058,230.10001,20,66.8,19.2,60,614.4,1888,0.078288,59,27,23,82,UE,,
S5,2020,6,18,23,17,45,45.42181,-71.838013,230.2,20,66.8,19.2,60,614.4,4705,0.339247,58,48,42,129,UE,,
S1,2020,6,18,23,17,50,45.422092,-71.837914,231.2,20,66.8,19.2,60,614.4,1757,1.40918,652,348,313,1024,OK,,
S2,2020,6,18,23,17,53,45.422203,-71.837837,231.39999,20,66.8,19.2,60,614.4,1986,2.165961,1498,671,555,2471,OK,,
S4,2020,6,18,23,17,58,45.422413,-71.837654,233.8,20,66.9,19.2,60,614.4,1724,0.156576,64,34,28,93,UE,,
S2,2020,6,18,23,18,8,45.422752,-71.838081,232.60001,20,66.8,19.2,60,614.4,2182,0.13048,52,30,27,72,UE,,
S3,2020,6,18,23,18,10,45.422832,-71.838264,231.10001,20,66.8,19.2,60,614.4,1718,4.084011,1385,737,547,2379,OK,,
S4,2020,6,18,23,18,12,45.422955,-71.83857,227.7,15,66.8,19.2,60,614.4,2215,0.339247,79,49,35,145,UE,,
S6,2020,6,18,23,18,17,45.423145,-71.839218,221.89999,15,67.1,19.2,60,614.4,1651,1.252604,408,209,138,693,OK,,
S2,2020,6,18,23,18,22,45.423237,-71.839851,219.8,20,67.4,19.2,60,614.4,1660,0.260959,116,60,50,163,UE,,
S3,2020,6,18,23,18,25,45.423191,-71.840012,220.10001,20,67.5,19.2,60,614.4,1772,0.339247,93,51,33,163,UE,,
S4,2020,6,18,23,18,27,45.423019,-71.840088,221,15,67.4,19.2,60,614.4,5626,0.143528,355,125,96,526,UE,,
S5,2020,6,18,23,18,30,45.422886,-71.840073,223.39999,20,67.4,19.2,60,614.4,1858,2.270345,972,531,475,1655,OK,,
S6,2020,6,18,23,18,32,45.422737,-71.840065,224.8,20,67.4,19.2,60,614.4,1633,0.391439,202,98,80,328,UE,,
S1,2020,6,18,23,18,35,45.422531,-71.840065,225.89999,20,67.3,19.2,60,614.4,2164,2.583496,619,379,271,1129,OK,,
S2,2020,6,18,23,18,37,45.422401,-71.840065,226.39999,20,67.3,19.2,60,614.4,1781,1.644043,794,351,232,1349,OK,,
S4,2020,6,18,23,18,42,45.422081,-71.840073,226.89999,20,67.2,19.2,60,614.4,5161,0.091336,174,64,51,250,UE,,
S5,2020,6,18,23,18,44,45.421886,-71.840065,226.8,15,67.2,19.2,60,614.4,1686,0.078288,44,23,21,65,UE,,
S6,2020,6,18,23,18,47,45.421738,-71.840065,226.60001,20,67.2,19.2,60,614.4,1718,0.378391,218,102,83,350,UE,,
S2,2020,6,18,23,18,52,45.421387,-71.840057,225.7,20,67.2,19.2,60,614.4,1641,0.091336,66,34,34,80,UE,,
S3,2020,6,18,23,18,54,45.421204,-71.84005,225.2,20,67.2,19.2,60,614.4,1702,0.182671,74,39,32,109,UE,,
S4,2020,6,18,23,18,57,45.421085,-71.84005,224.5,20,67.2,19.2,60,614.4,2291,0.234863,180,77,61,264,UE,,
