Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S4,2020,5,5,22,55,37,45.448616,-71.954361,187.8,14,45.5,5.6,60,614.4,1682,1.109077,490,256,218,763,OK,0.240,0.391,,
S5,2020,5,5,22,55,39,45.44862,-71.953857,187.8,14,45.4,5.5,60,614.4,3253,0.208767,57,38,34,89,UE,0.362,0.496,,
S6,2020,5,5,22,55,42,45.448616,-71.953537,187.89999,14,45.5,5.5,60,614.4,63188,855.07196,597,231,238,864,OK,0.056,0.137,,
S1,2020,5,5,22,55,44,45.448616,-71.953217,188,14,45.6,5.6,60,614.4,2185,3.014078,935,552,460,1625,OK,0.296,0.450,,
S2,2020,5,5,22,55,47,45.448616,-71.952759,188,14,45.6,5.5,60,614.4,3163,5.062608,4674,1805,1288,7724,OK,0.135,0.276,,
S3,2020,5,5,22,55,49,45.448616,-71.952454,187.8,14,45.7,5.5,60,614.4,4324,0.169623,43,31,29,64,UE,0.406,0.523,,
S4,2020,5,5,22,55,52,45.448608,-71.951988,187.8,14,45.7,5.5,60,614.4,2559,1.122124,341,210,184,542,OK,0.321,0.463,,
S5,2020,5,5,22,55,54,45.448608,-71.951683,187.89999,14,45.8,5.5,60,614.4,2781,0.221815,68,43,38,112,UE,0.334,0.474,,
S3,2020,5,5,22,56,4,45.448601,-71.950005,188.60001,14,45.9,5.5,60,614.4,3841,0.300103,56,43,36,106,UE,0.418,0.557,,
S4,2020,5,5,22,56,6,45.448601,-71.949486,188.60001,14,45.9,5.5,60,614.4,3416,0.13048,36,24,22,56,UE,0.364,0.492,,
S1,2020,5,5,22,56,14,45.448593,-71.948227,179.7,15,46,5.5,60,614.4,2498,0.521918,203,120,113,364,OK,0.303,0.429,,
S2,2020,5,5,22,56,16,45.448589,-71.947823,176.3,15,46,5.5,60,614.4,1634,0.117432,81,40,37,110,UE,0.209,0.341,,
S4,2020,5,5,22,56,21,45.44857,-71.946777,166.89999,15,46.1,5.5,60,614.4,3849,0.13048,39,26,25,59,UE,0.367,0.481,,
S5,2020,5,5,22,56,23,45.448559,-71.946144,162.60001,15,46.1,5.5,60,614.4,5803,0.169623,35,28,27,56,UE,0.461,0.561,,
S4,2020,5,5,22,56,36,45.448555,-71.943939,158.5,15,46.4,5.5,60,614.4,3468,0.13048,39,26,24,61,UE,0.365,0.491,,
S5,2020,5,5,22,56,38,45.448547,-71.943604,158.39999,15,46.4,5.5,60,614.4,5540,0.156576,28,24,22,54,UE,0.486,0.595,,
S4,2020,5,5,22,56,50,45.448532,-71.941589,154.89999,15,46.8,5.5,60,614.4,2020,1.043837,375,213,183,599,OK,0.280,0.429,,
S5,2020,5,5,22,56,53,45.448528,-71.941299,154.2,15,46.9,5.5,60,614.4,4849,0.247911,53,41,38,96,UE,0.440,0.554,,
S3,2020,5,5,22,57,3,45.448513,-71.939735,151.5,15,47.2,5.5,60,614.4,1728,0.208767,75,40,31,124,UE,0.244,0.410,,
S4,2020,5,5,22,57,5,45.448509,-71.9394,151.2,15,47.3,5.5,60,614.4,2770,1.043837,300,190,167,480,OK,0.335,0.475,,
S5,2020,5,5,22,57,8,45.448502,-71.938889,151,15,47.3,5.5,60,614.4,5321,0.221815,39,33,30,71,UE,0.479,0.591,,
S1,2020,5,5,22,57,13,45.448486,-71.938049,150.8,15,47.5,5.5,60,614.4,5787,0.221815,26,27,23,68,UE,0.549,0.660,,
S2,2020,5,5,22,57,15,45.448483,-71.937714,150.7,15,47.5,5.5,60,614.4,3580,1.487467,226,183,138,545,OK,0.413,0.567,,
S3,2020,5,5,22,57,17,45.448479,-71.937202,150.3,15,47.6,5.5,60,614.4,3438,0.900309,145,114,86,324,UE,0.402,0.557,,
S4,2020,5,5,22,57,20,45.448475,-71.936852,149.7,15,47.6,5.4,60,614.4,2261,1.34394,451,266,232,712,OK,0.299,0.444,,
S5,2020,5,5,22,57,22,45.448471,-71.936295,149.7,15,47.7,5.5,60,614.4,4988,0.234863,45,36,33,76,UE,0.454,0.569,,
S4,2020,5,5,22,57,35,45.448483,-71.934059,146.8,15,48,5.5,60,614.4,3704,0.143528,38,26,24,59,UE,0.378,0.502,,
