# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S6,2020,6,10,22,38,19,45.423515,-71.877098,254.2,11,55.2,19.9,60,614.4,1659,0.76983,258,133,91,436,UE,,,
S2,2020,6,10,22,38,24,45.423744,-71.877159,252.60001,11,55.2,19.9,60,614.4,1774,0.221815,134,62,51,186,UE,,,
S3,2020,6,10,22,38,27,45.423889,-71.877174,251.3,11,55.2,19.9,60,614.4,3928,0.221815,43,33,28,63,UE,,,
S4,2020,6,10,22,38,29,45.423988,-71.877174,250.60001,11,55.3,19.9,60,614.4,3186,0.143528,39,26,23,52,UE,,,
S5,2020,6,10,22,38,32,45.424164,-71.87719,247.2,11,55.3,19.9,60,614.4,4866,0.143528,29,23,21,39,UE,,,
S2,2020,6,10,22,38,39,45.424595,-71.877182,243.5,11,55.3,19.9,60,614.4,5146,0.169623,56,38,39,61,UE,,,
S3,2020,6,10,22,38,41,45.42477,-71.877182,243.5,11,55.3,19.9,60,614.4,6290,0.521918,52,60,51,145,UE,,,
S4,2020,6,10,22,38,44,45.424881,-71.877174,244.2,11,55.3,19.9,60,614.4,2483,0.156576,43,27,22,67,UE,,,
S1,2020,6,10,22,38,51,45.42524,-71.877174,243.10001,11,55.4,19.8,60,614.4,2396,1.161268,307,191,153,551,OK,,,
S2,2020,6,10,22,38,54,45.425335,-71.877167,243,11,55.4,19.9,60,614.4,2100,0.234863,95,54,49,130,UE,,,
S3,2020,6,10,22,38,56,45.425362,-71.877136,243.89999,11,55.4,19.8,60,614.4,1634,0.182671,75,38,29,119,UE,,,
S4,2020,6,10,22,38,58,45.425415,-71.877129,244.10001,11,55.4,19.8,60,614.4,1722,0.156576,92,43,35,132,UE,,,
S2,2020,6,10,22,39,8,45.425919,-71.877144,243.60001,11,55.4,19.8,60,614.4,3180,0.274007,90,57,54,113,UE,,,
S3,2020,6,10,22,39,11,45.426022,-71.877151,243.60001,11,55.4,19.8,60,614.4,1621,0.234863,116,58,48,171,UE,,,
S4,2020,6,10,22,39,13,45.426113,-71.877159,243.7,11,55.4,19.8,60,614.4,2188,0.117432,43,25,22,58,UE,,,
S2,2020,6,10,22,39,23,45.426697,-71.877167,240.5,11,55.5,19.8,60,614.4,2888,0.195719,58,37,33,83,UE,,,
S3,2020,6,10,22,39,25,45.426876,-71.877167,239.89999,11,55.5,19.8,60,614.4,2183,0.848117,284,166,143,418,OK,,,
S5,2020,6,10,22,39,30,45.427143,-71.877159,239.2,11,55.6,19.8,60,614.4,2476,0.169623,44,28,22,68,UE,,,
S6,2020,6,10,22,39,33,45.427258,-71.877159,237.60001,11,55.6,19.8,60,614.4,1631,1.082981,466,223,160,786,OK,,,
S1,2020,6,10,22,39,35,45.427376,-71.877159,236.7,11,55.7,19.8,60,614.4,2194,1.383084,447,263,223,794,OK,,,
S2,2020,6,10,22,39,38,45.427547,-71.877144,235.7,11,55.7,19.8,60,614.4,1756,0.495822,268,122,91,420,UE,,,
S3,2020,6,10,22,39,40,45.427666,-71.877144,235.39999,12,55.7,19.7,60,614.4,5764,0.313151,49,44,40,111,UE,,,
S5,2020,6,10,22,39,45,45.427944,-71.877151,232.8,11,55.7,19.7,60,614.4,3722,0.195719,49,34,31,60,UE,,,
S6,2020,6,10,22,39,48,45.428085,-71.877159,230.5,11,55.7,19.7,60,614.4,1620,0.456679,129,61,26,219,UE,,,
S2,2020,6,10,22,39,52,45.428219,-71.877075,229.10001,12,55.7,19.7,60,614.4,5157,0.13048,221,69,37,319,UE,,,
S1,2020,6,10,22,40,5,45.428211,-71.876221,225.8,12,56,19.7,60,614.4,1627,6.876275,1603,781,252,2824,OK,,,
S2,2020,6,10,22,40,7,45.428139,-71.876183,225.8,12,56,19.7,60,614.4,2187,3.875244,1854,687,252,3031,OK,,,
