Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S1,2020,4,18,23,23,12,45.404831,-71.837074,269,14,50.6,0.4,60,614.4,1621,0.078288,35,17,12,56,UE,0.2,0.37,,,,
S2,2020,4,18,23,23,14,45.404823,-71.836899,269.60001,14,50.6,0.5,60,614.4,1688,0.117432,40,21,15,64,UE,0.23,0.4,,,,
S3,2020,4,18,23,23,17,45.404819,-71.836655,271,14,50.6,0.5,60,614.4,1636,0.221815,97,46,32,157,UE,0.19,0.36,,,,
S4,2020,4,18,23,23,19,45.404854,-71.836517,271.39999,14,50.6,0.5,60,614.4,2399,0.039144,32,13,9,52,UE,0.15,0.3,,,,
S5,2020,4,18,23,23,22,45.404984,-71.836403,270.89999,14,50.6,0.5,60,614.4,3007,0.013048,10,6,6,14,UE,0.31,0.42,,,,
S6,2020,4,18,23,23,24,45.405106,-71.836365,271.29999,14,50.6,0.5,60,614.4,2647,0.456679,71,52,32,106,UE,0.31,0.49,,,,
S1,2020,4,18,23,23,27,45.405281,-71.836327,271.29999,14,50.6,0.5,60,614.4,1724,0.039144,15,8,6,23,UE,0.24,0.41,,,,
S2,2020,4,18,23,23,29,45.405392,-71.836327,269.5,14,50.6,0.5,60,614.4,2287,0.678494,461,191,136,722,OK,0.15,0.31,,,,
S3,2020,4,18,23,23,32,45.405491,-71.836403,269.5,14,50.6,0.5,60,614.4,2040,0.052192,25,14,13,35,UE,0.27,0.41,,,,
S4,2020,4,18,23,23,34,45.405548,-71.836624,267.39999,14,50.6,0.5,60,614.4,2670,0.06524,59,24,18,99,UE,0.15,0.29,,,,
S5,2020,4,18,23,23,37,45.40556,-71.8368,266.20001,14,50.6,0.5,60,614.4,2339,0.052192,24,14,13,32,UE,0.3,0.43,,,,
S6,2020,4,18,23,23,39,45.405579,-71.83709,264.39999,14,50.6,0.5,60,614.4,1717,0.50887,265,122,91,442,UE,0.18,0.35,,,,
S1,2020,4,18,23,23,41,45.405594,-71.837296,263.29999,13,50.6,0.5,60,614.4,3297,0.795925,787,304,222,1219,OK,0.13,0.27,,,,
S2,2020,4,18,23,23,44,45.405621,-71.837616,261.39999,13,50.6,0.5,60,614.4,1854,0.117432,55,30,27,78,UE,0.26,0.4,,,,
S3,2020,4,18,23,23,46,45.405647,-71.837822,260.10001,14,50.6,0.5,60,614.4,2158,0.078288,33,19,17,50,UE,0.29,0.43,,,,
S4,2020,4,18,23,23,49,45.405689,-71.838112,257.89999,13,50.6,0.5,60,614.4,1640,5.193088,2111,992,658,3663,OK,0.18,0.36,,,,
S5,2020,4,18,23,23,51,45.405716,-71.838287,256.70001,13,50.6,0.5,60,614.4,2455,0.143528,44,27,23,63,UE,0.32,0.46,,,,
S6,2020,4,18,23,23,54,45.405758,-71.838547,255.8,13,50.6,0.5,60,614.4,2610,0.052192,12,8,6,21,UE,0.33,0.5,,,,
S1,2020,4,18,23,23,56,45.405785,-71.838707,254.7,14,50.7,0.5,60,614.4,3457,0.287055,47,37,28,94,UE,0.4,0.56,,,,
S2,2020,4,18,23,23,59,45.405811,-71.838882,253.8,14,50.7,0.5,60,614.4,3982,0.195719,46,33,30,64,UE,0.4,0.53,,,,
S3,2020,4,18,23,24,1,45.405849,-71.839142,252.89999,14,50.7,0.5,60,614.4,2492,1.396132,399,247,209,710,OK,0.32,0.47,,,,
S4,2020,4,18,23,24,4,45.405865,-71.83931,252.5,14,50.7,0.5,60,614.4,2224,0.274007,168,68,43,269,UE,0.14,0.3,,,,
S5,2020,4,18,23,24,6,45.405884,-71.839554,252,14,50.7,0.5,60,614.4,2234,0.234863,86,50,45,118,UE,0.29,0.43,,,,
S6,2020,4,18,23,24,8,45.405895,-71.839706,251.7,14,50.7,0.5,60,614.4,1767,0.782878,231,126,86,402,UE,0.24,0.41,,,,
S1,2020,4,18,23,24,11,45.40591,-71.839928,252,14,50.7,0.5,60,614.4,1725,4.527642,1980,883,551,3199,OK,0.16,0.33,,,,
S2,2020,4,18,23,24,13,45.405926,-71.840057,252.10001,14,50.7,0.5,60,614.4,1793,0.221815,117,52,36,186,UE,0.17,0.34,,,,
S3,2020,4,18,23,24,16,45.405941,-71.840248,251.89999,14,50.7,0.5,60,614.4,1939,0.300103,95,54,42,155,UE,0.27,0.44,,,,
S4,2020,4,18,23,24,18,45.405949,-71.840355,251.3,14,50.7,0.5,60,614.4,1815,0.026096,11,6,5,19,UE,0.26,0.41,,,,
S5,2020,4,18,23,24,21,45.405998,-71.840439,250.8,14,50.7,0.5,60,614.4,1882,0.091336,34,19,15,55,UE,0.27,0.43,,,,
S6,2020,4,18,23,24,23,45.406055,-71.840462,250.39999,14,50.8,0.5,60,614.4,2596,0.078288,12,9,5,22,UE,0.29,0.47,,,,
S1,2020,4,18,23,24,26,45.406143,-71.840446,250.60001,14,50.8,0.5,60,614.4,1642,0.143528,55,28,20,84,UE,0.22,0.39,,,,
S2,2020,4,18,23,24,28,45.406307,-71.840424,250.3,14,50.8,0.5,60,614.4,2423,0.117432,44,26,24,57,UE,0.3,0.43,,,,
S3,2020,4,18,23,24,31,45.406425,-71.840401,249.7,14,50.8,0.5,60,614.4,4093,1.304796,43,89,35,151,UE,0.39,0.52,,,,
S4,2020,4,18,23,24,33,45.40657,-71.840378,249,14,50.8,0.5,60,614.4,1624,2.165961,699,345,206,1248,OK,0.18,0.36,,,,
S5,2020,4,18,23,24,35,45.406639,-71.840363,248.7,14,50.8,0.5,60,614.4,1627,9.120523,3052,1519,966,5156,OK,0.19,0.37,,,,
S6,2020,4,18,23,24,38,45.406704,-71.840294,249.3,14,50.8,0.5,60,614.4,1709,0.952501,311,165,117,531,OK,0.23,0.41,,,,
S1,2020,4,18,23,24,40,45.406719,-71.84021,250.2,14,50.8,0.5,60,614.4,1672,1.826714,757,346,218,1253,OK,0.17,0.34,,,,
S2,2020,4,18,23,24,43,45.406712,-71.840034,250.2,14,50.8,0.5,60,614.4,1703,0.143528,53,28,21,92,UE,0.24,0.41,,,,
S3,2020,4,18,23,24,45,45.406704,-71.83989,253.10001,14,50.8,0.5,60,614.4,1701,0.326199,104,55,38,184,UE,0.23,0.4,,,,
S4,2020,4,18,23,24,48,45.406689,-71.839661,253.5,14,50.9,0.6,60,614.4,3672,0.117432,136,52,39,220,UE,0.13,0.26,,,,
S5,2020,4,18,23,24,50,45.406681,-71.839523,253.89999,14,50.8,0.5,60,614.4,1905,0.039144,20,11,10,31,UE,0.27,0.4,,,,
S6,2020,4,18,23,24,53,45.406673,-71.839386,254.5,14,50.8,0.5,60,614.4,2426,0.274007,224,95,76,353,UE,0.15,0.3,,,,
S1,2020,4,18,23,24,55,45.406666,-71.839172,255.3,14,50.8,0.5,60,614.4,4784,3.014078,4776,1742,1322,7254,OK,0.12,0.24,,,,
S2,2020,4,18,23,24,57,45.406654,-71.839035,255.89999,14,50.8,0.5,60,614.4,1909,0.156576,110,50,42,184,UE,0.18,0.33,,,,
S3,2020,4,18,23,25,0,45.406639,-71.838806,256.79999,14,50.8,0.6,60,614.4,2136,0.013048,9,5,5,14,UE,0.26,0.38,,,,
S4,2020,4,18,23,25,2,45.406635,-71.838661,257.60001,14,50.7,0.5,60,614.4,1769,0.06524,24,13,10,45,UE,0.25,0.42,,,,
S5,2020,4,18,23,25,5,45.406624,-71.838463,259.20001,14,50.7,0.5,60,614.4,4467,0.052192,10,8,7,19,UE,0.45,0.57,,,,
S6,2020,4,18,23,25,7,45.406616,-71.838333,259.5,14,50.8,0.6,60,614.4,1842,0.182671,69,38,31,122,UE,0.26,0.42,,,,
S1,2020,4,18,23,25,10,45.406601,-71.83815,259.5,14,50.8,0.6,60,614.4,1937,0.039144,14,8,6,23,UE,0.27,0.44,,,,
S2,2020,4,18,23,25,12,45.406593,-71.83802,263.10001,14,50.7,0.5,60,614.4,1936,0.443631,273,120,90,451,UE,0.17,0.33,,,,
S3,2020,4,18,23,25,15,45.406582,-71.837898,263.5,14,50.8,0.6,60,614.4,3057,0.169623,206,91,87,400,UE,0.15,0.27,,,,
S4,2020,4,18,23,25,17,45.406567,-71.837692,264.5,14,50.7,0.6,60,614.4,1622,0.013048,10,5,4,17,UE,0.22,0.38,,,,
S5,2020,4,18,23,25,20,45.406559,-71.837555,265.60001,14,50.8,0.6,60,614.4,5619,0.247911,35,33,29,89,UE,0.52,0.63,,,,
S6,2020,4,18,23,25,22,45.406548,-71.837311,266.29999,14,50.7,0.5,60,614.4,2421,0.078288,30,18,16,52,UE,0.31,0.45,,,,
S1,2020,4,18,23,25,24,45.40654,-71.837158,268,14,50.8,0.6,60,614.4,1710,0.039144,17,9,7,27,UE,0.24,0.41,,,,
S2,2020,4,18,23,25,27,45.406525,-71.836929,270.5,14,50.7,0.6,60,614.4,1651,0.534966,240,113,81,400,UE,0.19,0.36,,,,
S3,2020,4,18,23,25,29,45.406517,-71.836777,272.5,14,50.7,0.6,60,614.4,13144,0.039144,19,13,15,40,UE,0.37,0.41,,,,
S4,2020,4,18,23,25,32,45.406502,-71.836563,273.29999,14,50.7,0.6,60,614.4,1742,0.039144,13,7,5,23,UE,0.24,0.41,,,,
S5,2020,4,18,23,25,34,45.406487,-71.836426,273.79999,14,50.7,0.6,60,614.4,3774,0.039144,11,8,7,17,UE,0.4,0.53,,,,
S6,2020,4,18,23,25,37,45.406471,-71.836189,273.79999,14,50.7,0.6,60,614.4,1982,0.13048,36,21,15,61,UE,0.27,0.44,,,,
S1,2020,4,18,23,25,39,45.406456,-71.836021,276.10001,14,50.7,0.6,60,614.4,3127,0.039144,12,8,7,22,UE,0.36,0.5,,,,
S2,2020,4,18,23,25,42,45.406441,-71.835854,277.60001,14,50.7,0.6,60,614.4,2196,0.991645,679,288,215,1115,OK,0.16,0.31,,,,
S3,2020,4,18,23,25,44,45.406418,-71.835617,279,14,50.7,0.6,60,614.4,1732,0.104384,59,27,20,94,UE,0.18,0.35,,,,
S4,2020,4,18,23,25,47,45.406399,-71.835495,281.10001,14,50.7,0.6,60,614.4,2074,1.513563,887,371,247,1455,OK,0.15,0.31,,,,
S5,2020,4,18,23,25,49,45.406364,-71.835335,279.79999,14,50.7,0.6,60,614.4,1837,3.19675,787,445,275,1466,OK,0.23,0.41,,,,
S6,2020,4,18,23,25,51,45.406303,-71.835274,279.29999,14,50.7,0.6,60,614.4,1815,2.5574,693,386,257,1233,OK,0.24,0.42,,,,
S1,2020,4,18,23,25,54,45.406158,-71.835251,277.5,14,50.7,0.6,60,614.4,1855,3.183702,1574,678,430,2574,OK,0.16,0.32,,,,
S2,2020,4,18,23,25,56,45.406048,-71.835251,276.5,14,50.7,0.6,60,614.4,1866,0.182671,55,31,22,95,UE,0.25,0.43,,,,
S3,2020,4,18,23,25,59,45.405899,-71.835251,277.10001,14,50.7,0.6,60,614.4,3499,0.117432,20,16,12,42,UE,0.41,0.56,,,,
S4,2020,4,18,23,26,1,45.405807,-71.835258,277.39999,14,50.7,0.6,60,614.4,1620,0.13048,47,23,15,82,UE,0.19,0.37,,,,
S5,2020,4,18,23,26,4,45.405663,-71.835266,277.29999,14,50.7,0.6,60,614.4,2396,0.469727,118,74,58,196,UE,0.31,0.48,,,,
S6,2020,4,18,23,26,6,45.405575,-71.835251,276.89999,14,50.7,0.6,60,614.4,1690,0.104384,40,21,16,67,UE,0.24,0.4,,,,
S1,2020,4,18,23,26,9,45.405514,-71.83519,276.29999,14,50.7,0.6,60,614.4,1620,0.300103,113,55,36,186,UE,0.19,0.37,,,,
S2,2020,4,18,23,26,11,45.405476,-71.835052,277.70001,14,50.7,0.6,60,614.4,1784,0.13048,44,24,18,72,UE,0.25,0.42,,,,
S3,2020,4,18,23,26,14,45.40546,-71.834969,279.60001,14,50.7,0.6,60,614.4,5854,0.06524,259,90,72,379,UE,0.1,0.2,,,,
S4,2020,4,18,23,26,16,45.405437,-71.834778,281.29999,14,50.7,0.6,60,614.4,2288,0.117432,78,32,22,125,UE,0.15,0.3,,,,
S5,2020,4,18,23,26,18,45.405422,-71.834618,282.29999,14,50.7,0.6,60,614.4,1635,0.013048,12,6,6,17,UE,0.2,0.32,,,,
S6,2020,4,18,23,26,21,45.405399,-71.834366,283.89999,14,50.7,0.6,60,614.4,1633,0.117432,64,31,25,103,UE,0.21,0.36,,,,
S1,2020,4,18,23,26,23,45.405392,-71.834221,285.20001,14,50.7,0.6,60,614.4,1744,0.06524,28,15,12,45,UE,0.25,0.41,,,,
S2,2020,4,18,23,26,26,45.405384,-71.833992,285.20001,14,50.6,0.6,60,614.4,4475,0.287055,412,150,110,633,OK,0.12,0.25,,,,
S3,2020,4,18,23,26,28,45.405373,-71.833839,285.70001,14,50.6,0.6,60,614.4,1661,0.026096,19,9,7,30,UE,0.2,0.36,,,,
S4,2020,4,18,23,26,31,45.405354,-71.833611,286.29999,14,50.7,0.7,60,614.4,1937,0.013048,7,4,3,12,UE,0.27,0.44,,,,
S5,2020,4,18,23,26,33,45.405334,-71.833443,286.20001,14,50.6,0.6,60,614.4,2844,0.417535,59,46,28,124,UE,0.33,0.51,,,,
S6,2020,4,18,23,26,36,45.405323,-71.833282,286.29999,14,50.6,0.6,60,614.4,2872,0.143528,24,18,12,48,UE,0.35,0.52,,,,
S1,2020,4,18,23,26,38,45.4053,-71.833031,285.39999,14,50.6,0.6,60,614.4,3546,0.13048,23,18,14,39,UE,0.41,0.56,,,,
S2,2020,4,18,23,26,41,45.405289,-71.832878,284.60001,14,50.6,0.6,60,614.4,2098,0.221815,70,41,33,109,UE,0.29,0.45,,,,
S3,2020,4,18,23,26,43,45.405266,-71.832703,284.20001,14,50.6,0.6,60,614.4,1863,0.234863,132,58,41,213,UE,0.17,0.33,,,,
S4,2020,4,18,23,26,45,45.40522,-71.832626,283.60001,14,50.6,0.6,60,614.4,1937,0.013048,7,4,3,10,UE,0.27,0.44,,,,
S5,2020,4,18,23,26,48,45.40509,-71.832611,282.89999,14,50.6,0.6,60,614.4,6320,0.039144,9,7,7,12,UE,0.45,0.54,,,,
S6,2020,4,18,23,26,50,45.404995,-71.832588,282.39999,14,50.6,0.6,60,614.4,2710,0.039144,11,7,6,15,UE,0.33,0.48,,,,
S1,2020,4,18,23,26,53,45.404858,-71.832573,282.39999,14,50.6,0.6,60,614.4,1815,0.026096,11,6,5,16,UE,0.26,0.41,,,,
S2,2020,4,18,23,26,55,45.40477,-71.832565,281.89999,14,50.6,0.6,60,614.4,1657,0.06524,31,16,13,46,UE,0.23,0.39,,,,
S3,2020,4,18,23,26,58,45.40469,-71.832565,281.79999,14,50.7,0.7,60,614.4,1697,0.117432,68,32,26,106,UE,0.19,0.35,,,,
S4,2020,4,18,23,27,0,45.404613,-71.832672,282.10001,14,50.7,0.7,60,614.4,1850,0.026096,20,9,7,32,UE,0.18,0.33,,,,
S5,2020,4,18,23,27,3,45.404598,-71.832802,281.5,14,50.7,0.7,60,614.4,2507,0.052192,14,9,7,23,UE,0.32,0.49,,,,
S6,2020,4,18,23,27,5,45.40461,-71.833008,280.5,14,50.6,0.6,60,614.4,3378,0.091336,17,13,10,32,UE,0.4,0.55,,,,
S1,2020,4,18,23,27,7,45.404613,-71.833168,279.29999,14,50.7,0.7,60,614.4,1635,0,6,3,3,8,UE,0.2,0.32,,,,
S2,2020,4,18,23,27,10,45.404625,-71.833427,278,14,50.6,0.6,60,614.4,2481,0.091336,41,24,23,50,UE,0.3,0.42,,,,
S3,2020,4,18,23,27,12,45.404633,-71.833603,277.10001,14,50.7,0.7,60,614.4,1621,1.905002,788,391,293,1362,OK,0.21,0.38,,,,
S4,2020,4,18,23,27,15,45.404644,-71.833862,275.70001,13,50.7,0.7,60,614.4,2831,0.117432,28,19,15,48,UE,0.35,0.51,,,,
S5,2020,4,18,23,27,17,45.404655,-71.834045,275,13,50.7,0.7,60,614.4,5074,0.13048,24,20,18,40,UE,0.47,0.59,,,,
S6,2020,4,18,23,27,20,45.404671,-71.834335,275,13,50.7,0.7,60,614.4,2061,0.052192,19,11,9,31,UE,0.28,0.44,,,,
S1,2020,4,18,23,27,22,45.404682,-71.834511,273,13,50.7,0.7,60,614.4,4762,0.13048,25,20,18,41,UE,0.45,0.57,,,,
S2,2020,4,18,23,27,25,45.40469,-71.834679,271.89999,13,50.7,0.7,60,614.4,1797,0.208767,83,45,38,124,UE,0.26,0.41,,,,
S3,2020,4,18,23,27,27,45.404694,-71.83493,270.79999,13,50.6,0.7,60,614.4,1665,0.274007,133,69,61,221,UE,0.24,0.38,,,,
S4,2020,4,18,23,27,30,45.40469,-71.835068,270.29999,13,50.6,0.7,60,614.4,2211,0.234863,147,60,39,238,UE,0.15,0.3,,,,
S5,2020,4,18,23,27,32,45.404667,-71.835213,270.29999,13,50.6,0.7,60,614.4,1623,1.539659,537,266,174,936,OK,0.2,0.37,,,,
S6,2020,4,18,23,27,34,45.404625,-71.835289,270.39999,14,50.6,0.7,60,614.4,1642,0.13048,51,26,19,84,UE,0.22,0.39,,,,
S1,2020,4,18,23,27,37,45.404499,-71.835312,270.79999,14,50.7,0.7,60,614.4,2058,2.152913,1199,496,311,1889,OK,0.15,0.31,,,,
S2,2020,4,18,23,27,39,45.404408,-71.835281,271.10001,14,50.7,0.7,60,614.4,1664,0.456679,168,87,64,291,UE,0.23,0.4,,,,
S3,2020,4,18,23,27,42,45.404255,-71.835182,272.60001,14,50.6,0.7,60,614.4,1747,0.026096,15,8,7,23,UE,0.25,0.4,,,,
S4,2020,4,18,23,27,44,45.404156,-71.835106,273.10001,14,50.6,0.7,60,614.4,2288,0.874213,547,220,140,881,OK,0.14,0.3,,,,
S5,2020,4,18,23,27,47,45.404011,-71.834991,274.10001,14,50.6,0.7,60,614.4,1784,0.06524,22,12,9,34,UE,0.25,0.42,,,,
S6,2020,4,18,23,27,49,45.403915,-71.834923,274.60001,14,50.6,0.7,60,614.4,1768,0.678494,198,108,74,348,UE,0.24,0.41,,,,
S1,2020,4,18,23,27,52,45.403824,-71.834839,275.60001,14,50.6,0.7,60,614.4,1855,3.39247,1689,729,467,2729,OK,0.16,0.32,,,,
S2,2020,4,18,23,27,54,45.403679,-71.834717,276,14,50.6,0.7,60,614.4,1885,0.156576,93,41,30,156,UE,0.17,0.33,,,,
S3,2020,4,18,23,27,57,45.403584,-71.834648,276.39999,14,50.6,0.7,60,614.4,2947,0.417535,60,47,30,137,UE,0.35,0.52,,,,
S4,2020,4,18,23,27,59,45.403427,-71.834526,277.39999,14,50.5,0.7,60,614.4,1626,0.026096,14,7,5,25,UE,0.21,0.38,,,,
S5,2020,4,18,23,28,1,45.403324,-71.834442,278,13,50.5,0.7,60,614.4,2449,0.143528,32,21,15,62,UE,0.31,0.49,,,,
S6,2020,4,18,23,28,4,45.403172,-71.83432,278.89999,14,50.5,0.7,60,614.4,1705,0.221815,118,55,43,201,UE,0.19,0.35,,,,
S1,2020,4,18,23,28,6,45.40308,-71.834251,279.29999,14,50.5,0.7,60,614.4,1726,1.748427,956,443,347,1589,OK,0.19,0.35,,,,
S2,2020,4,18,23,28,9,45.40295,-71.834145,279.29999,14,50.5,0.7,60,614.4,2482,0.117432,99,41,31,159,UE,0.15,0.3,,,,
S3,2020,4,18,23,28,11,45.402866,-71.834068,279.89999,14,50.6,0.7,60,614.4,1620,0.026096,18,9,8,26,UE,0.22,0.36,,,,
S4,2020,4,18,23,28,14,45.402744,-71.833969,280.20001,14,50.5,0.7,60,614.4,2178,0.260959,54,34,22,108,UE,0.28,0.46,,,,
S5,2020,4,18,23,28,16,45.402653,-71.833885,280,14,50.6,0.7,60,614.4,3774,0.039144,11,8,7,19,UE,0.4,0.53,,,,
S6,2020,4,18,23,28,19,45.402565,-71.833824,280.70001,14,50.6,0.7,60,614.4,1635,0.326199,156,75,58,260,UE,0.2,0.36,,,,
S1,2020,4,18,23,28,21,45.402428,-71.833717,280.89999,14,50.6,0.7,60,614.4,2259,0.861165,235,143,113,409,OK,0.3,0.46,,,,
S2,2020,4,18,23,28,24,45.402328,-71.833649,281.5,14,50.6,0.7,60,614.4,2249,0.469727,313,130,92,513,UE,0.15,0.31,,,,
S3,2020,4,18,23,28,26,45.402168,-71.833534,281.60001,14,50.5,0.7,60,614.4,1635,0,10,5,5,15,UE,0.2,0.32,,,,
S4,2020,4,18,23,28,28,45.402065,-71.83345,281.5,14,50.6,0.7,60,614.4,1872,0.300103,153,66,43,255,UE,0.16,0.32,,,,
S5,2020,4,18,23,28,31,45.401917,-71.833321,282.29999,13,50.5,0.7,60,614.4,1670,6.3935,1977,1027,667,3491,OK,0.21,0.39,,,,
S6,2020,4,18,23,28,33,45.401821,-71.833237,282.70001,14,50.6,0.8,60,614.4,1622,0.391439,155,77,55,258,UE,0.21,0.38,,,,
S1,2020,4,18,23,28,36,45.401672,-71.833122,282.70001,14,50.5,0.7,60,614.4,1946,1.500515,781,329,205,1252,OK,0.15,0.31,,,,
S2,2020,4,18,23,28,38,45.401585,-71.833031,285,13,50.5,0.7,60,614.4,1818,0.091336,29,16,12,51,UE,0.25,0.42,,,,
S3,2020,4,18,23,28,41,45.401459,-71.832878,285.5,13,50.6,0.8,60,614.4,1868,0.013048,13,7,7,19,UE,0.25,0.36,,,,
S4,2020,4,18,23,28,43,45.401402,-71.832748,286.5,13,50.5,0.7,60,614.4,1742,1.422228,686,309,213,1214,OK,0.17,0.34,,,,
S5,2020,4,18,23,28,46,45.401356,-71.832603,287.70001,13,50.6,0.8,60,614.4,1956,1.644043,598,336,286,1038,OK,0.27,0.43,,,,
S6,2020,4,18,23,28,48,45.401329,-71.832375,289.20001,13,50.6,0.8,60,614.4,2017,0.052192,21,12,10,39,UE,0.28,0.44,,,,
S1,2020,4,18,23,28,50,45.401321,-71.83223,290.39999,13,50.6,0.8,60,614.4,1636,0.208767,89,42,28,143,UE,0.18,0.36,,,,
S2,2020,4,18,23,28,53,45.401302,-71.832031,291.60001,13,50.6,0.8,60,614.4,4612,0.078288,28,19,19,55,UE,0.38,0.48,,,,
S3,2020,4,18,23,28,55,45.401295,-71.831886,292.39999,13,50.5,0.7,60,614.4,1620,0.169623,68,33,22,115,UE,0.19,0.37,,,,
S4,2020,4,18,23,28,58,45.401283,-71.83168,293.70001,13,50.5,0.7,60,614.4,2098,5.206136,1290,776,556,2422,OK,0.28,0.46,,,,
S5,2020,4,18,23,29,0,45.401272,-71.831558,294.60001,13,50.6,0.8,60,614.4,2661,0.247911,50,34,25,97,UE,0.34,0.5,,,,
S6,2020,4,18,23,29,3,45.401264,-71.831367,294.60001,13,50.6,0.8,60,614.4,1978,0.247911,67,39,28,124,UE,0.27,0.44,,,,
S1,2020,4,18,23,29,5,45.401257,-71.83123,296.60001,13,50.6,0.8,60,614.4,1986,0.70459,204,118,89,343,UE,0.27,0.44,,,,
S2,2020,4,18,23,29,8,45.401253,-71.831078,297.10001,13,50.6,0.8,60,614.4,2093,0.195719,52,31,23,98,UE,0.28,0.45,,,,
S3,2020,4,18,23,29,10,45.401241,-71.830841,297.39999,13,50.6,0.8,60,614.4,2922,0.274007,54,38,29,114,UE,0.36,0.52,,,,
S4,2020,4,18,23,29,13,45.401234,-71.830673,296.70001,13,50.6,0.8,60,614.4,1735,0.391439,119,64,44,209,UE,0.23,0.41,,,,
S5,2020,4,18,23,29,15,45.401215,-71.830429,295.20001,13,50.6,0.8,60,614.4,1686,6.132541,1831,961,618,3245,OK,0.21,0.39,,,,
S6,2020,4,18,23,29,17,45.401203,-71.830322,294.39999,13,50.6,0.8,60,614.4,1778,1.644043,490,268,188,849,OK,0.24,0.42,,,,
S1,2020,4,18,23,29,20,45.401142,-71.830215,293.39999,13,50.6,0.8,60,614.4,1823,8.976995,2257,1268,792,4002,OK,0.23,0.41,,,,
S2,2020,4,18,23,29,22,45.401073,-71.8302,292.5,13,50.6,0.8,60,614.4,1630,0.274007,119,57,41,198,UE,0.2,0.37,,,,
S3,2020,4,18,23,29,25,45.400948,-71.830193,291.29999,13,50.6,0.8,60,614.4,1806,0.117432,76,35,29,115,UE,0.18,0.33,,,,
S4,2020,4,18,23,29,27,45.400864,-71.830193,291.29999,13,50.6,0.8,60,614.4,1724,1.109077,597,276,213,1031,OK,0.19,0.35,,,,
S5,2020,4,18,23,29,30,45.400726,-71.830177,290.5,13,50.6,0.8,60,614.4,1653,0.482775,225,116,99,366,UE,0.23,0.38,,,,
S6,2020,4,18,23,29,32,45.400631,-71.83017,290.29999,13,50.6,0.8,60,614.4,1624,0.13048,56,28,21,96,UE,0.21,0.38,,,,
S1,2020,4,18,23,29,35,45.400543,-71.830177,290.39999,13,50.6,0.8,60,614.4,1797,0.182671,68,37,30,118,UE,0.26,0.42,,,,
S2,2020,4,18,23,29,37,45.400452,-71.830292,290.39999,13,50.6,0.8,60,614.4,1807,0.117432,42,23,18,66,UE,0.26,0.42,,,,
S3,2020,4,18,23,29,40,45.400444,-71.830414,290.5,13,50.6,0.8,60,614.4,1900,0.274007,79,45,32,144,UE,0.26,0.43,,,,
S4,2020,4,18,23,29,42,45.400455,-71.83065,290.70001,13,50.6,0.8,60,614.4,2434,0.743734,518,209,143,862,OK,0.14,0.3,,,,
S5,2020,4,18,23,29,44,45.400467,-71.830811,291,13,50.6,0.8,60,614.4,2773,0.06524,15,10,8,26,UE,0.35,0.5,,,,
S6,2020,4,18,23,29,47,45.400478,-71.831047,291.10001,13,50.6,0.8,60,614.4,2947,0.195719,191,79,65,305,UE,0.14,0.28,,,,
S1,2020,4,18,23,29,49,45.400494,-71.831207,291.39999,13,50.6,0.8,60,614.4,5020,0.848117,1488,542,419,2291,OK,0.12,0.24,,,,
S2,2020,4,18,23,29,52,45.400505,-71.831421,291.39999,13,50.6,0.8,60,614.4,1655,0.039144,27,13,11,41,UE,0.2,0.35,,,,
S3,2020,4,18,23,29,54,45.400513,-71.831566,291.60001,13,50.6,0.8,60,614.4,1653,0.665446,318,164,142,535,OK,0.23,0.38,,,,
S4,2020,4,18,23,29,57,45.400528,-71.831779,291.79999,12,50.6,0.8,60,614.4,1764,0.026096,11,6,4,19,UE,0.23,0.41,,,,
S5,2020,4,18,23,29,59,45.400536,-71.831917,291.5,13,50.6,0.8,60,614.4,2610,0.026096,6,4,3,9,UE,0.33,0.5,,,,
S6,2020,4,18,23,30,2,45.400543,-71.832054,291.70001,13,50.6,0.8,60,614.4,1880,0.247911,156,70,55,252,UE,0.18,0.33,,,,
S1,2020,4,18,23,30,4,45.400558,-71.832275,291.5,13,50.7,0.9,60,614.4,4183,0.182671,252,95,73,388,UE,0.12,0.25,,,,
S2,2020,4,18,23,30,7,45.400566,-71.832413,291.20001,13,50.6,0.8,60,614.4,1820,0.052192,35,16,13,53,UE,0.18,0.33,,,,
S3,2020,4,18,23,30,9,45.400585,-71.832634,290.89999,13,50.6,0.8,60,614.4,1620,1.043837,584,291,259,1024,OK,0.22,0.36,,,,
S4,2020,4,18,23,30,11,45.400585,-71.832779,291,13,50.6,0.8,60,614.4,1620,0.026096,14,7,6,25,UE,0.22,0.37,,,,
S5,2020,4,18,23,30,14,45.400536,-71.832985,291.39999,13,50.6,0.8,60,614.4,2129,0.06524,20,12,9,37,UE,0.29,0.46,,,,
S6,2020,4,18,23,30,16,45.400455,-71.833076,291.5,13,50.7,0.9,60,614.4,2552,0.117432,105,45,38,167,UE,0.15,0.29,,,,
S1,2020,4,18,23,30,19,45.400311,-71.833138,291.5,13,50.6,0.8,60,614.4,5445,0.06524,163,60,49,248,UE,0.11,0.23,,,,
S2,2020,4,18,23,30,21,45.400215,-71.83316,292.5,13,50.6,0.8,60,614.4,2339,0.052192,24,14,13,33,UE,0.3,0.43,,,,
