Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S3,2020,4,18,22,16,36,45.412926,-71.866959,287.60001,11,38.7,9.8,60,614.4,1988,0.600206,134,80,50,246,UE,0.25,0.43,,,,
S4,2020,4,18,22,16,38,45.412949,-71.866974,287,11,38.8,9.8,60,614.4,2364,0.939453,247,153,122,429,OK,0.31,0.47,,,,
S5,2020,4,18,22,16,41,45.412998,-71.866974,286.29999,11,38.8,9.8,60,614.4,1639,0.456679,156,79,52,276,UE,0.2,0.38,,,,
S6,2020,4,18,22,16,43,45.413033,-71.866974,285.39999,11,38.8,9.8,60,614.4,4076,0.13048,24,19,16,45,UE,0.43,0.57,,,,
S1,2020,4,18,22,16,46,45.413097,-71.866982,285.39999,11,38.8,9.7,60,614.4,4034,0.039144,6,5,4,14,UE,0.44,0.58,,,,
S2,2020,4,18,22,16,48,45.413136,-71.866989,282.5,12,38.8,9.8,60,614.4,1771,0.521918,146,80,52,267,UE,0.23,0.41,,,,
S3,2020,4,18,22,16,51,45.41317,-71.866997,280.60001,12,38.8,9.7,60,614.4,1842,0.743734,201,113,76,368,UE,0.24,0.42,,,,
S4,2020,4,18,22,16,53,45.413227,-71.86702,279,12,38.8,9.7,60,614.4,2093,0.70459,227,132,109,377,OK,0.29,0.44,,,,
S5,2020,4,18,22,16,56,45.413269,-71.867035,277.10001,12,38.8,9.7,60,614.4,4182,0.469727,67,58,46,155,UE,0.46,0.6,,,,
S6,2020,4,18,22,16,58,45.413338,-71.86705,274.20001,12,38.9,9.7,60,614.4,3819,0.104384,25,18,16,42,UE,0.4,0.53,,,,
S1,2020,4,18,22,17,0,45.413376,-71.86705,272.60001,12,38.9,9.7,60,614.4,2428,0.013048,7,4,4,12,UE,0.28,0.39,,,,
S2,2020,4,18,22,17,3,45.413425,-71.867027,269.60001,11,38.8,9.6,60,614.4,1909,0.274007,85,48,37,147,UE,0.27,0.43,,,,
S3,2020,4,18,22,17,5,45.413456,-71.866989,268.70001,12,38.8,9.6,60,614.4,1629,0.521918,265,129,105,452,OK,0.21,0.36,,,,
S4,2020,4,18,22,17,8,45.41349,-71.866928,269.70001,12,38.9,9.6,60,614.4,1670,0.260959,134,63,48,214,UE,0.19,0.36,,,,
S5,2020,4,18,22,17,10,45.413525,-71.866852,270.5,12,38.9,9.6,60,614.4,2843,0.978597,206,141,110,432,OK,0.35,0.51,,,,
S6,2020,4,18,22,17,13,45.413559,-71.866699,271.29999,12,38.9,9.6,60,614.4,3030,0.06524,16,11,9,30,UE,0.36,0.51,,,,
S1,2020,4,18,22,17,15,45.413597,-71.8666,272.70001,12,38.9,9.5,60,614.4,3499,0.026096,5,4,3,10,UE,0.41,0.56,,,,
S2,2020,4,18,22,17,18,45.413639,-71.866478,273.39999,12,38.9,9.5,60,614.4,2700,0.822021,234,148,128,419,OK,0.33,0.48,,,,
S3,2020,4,18,22,17,20,45.413712,-71.866272,275.39999,12,38.9,9.5,60,614.4,2718,0.260959,64,42,34,113,UE,0.34,0.5,,,,
S4,2020,4,18,22,17,23,45.41375,-71.866196,276.39999,12,38.9,9.5,60,614.4,2382,1.396132,931,374,247,1482,OK,0.14,0.3,,,,
S5,2020,4,18,22,17,25,45.413818,-71.866127,279.60001,12,38.9,9.5,60,614.4,1672,3.301134,1396,641,417,2337,OK,0.17,0.35,,,,
S6,2020,4,18,22,17,27,45.413898,-71.866127,279.60001,11,38.9,9.5,60,614.4,2089,0.247911,65,39,28,118,UE,0.28,0.45,,,,
S1,2020,4,18,22,17,30,45.414017,-71.866219,276.79999,12,38.9,9.4,60,614.4,7857,0.378391,29,42,37,107,UE,0.68,0.75,,,,
S2,2020,4,18,22,17,32,45.414101,-71.866272,276.5,12,38.9,9.4,60,614.4,3530,1.069933,178,139,108,410,OK,0.41,0.56,,,,
S3,2020,4,18,22,17,35,45.41423,-71.866341,276.5,12,38.9,9.4,60,614.4,1658,0.482775,163,84,58,284,UE,0.22,0.39,,,,
S4,2020,4,18,22,17,37,45.414333,-71.866379,283.29999,12,38.9,9.4,60,614.4,1679,0.326199,155,72,52,248,UE,0.19,0.35,,,,
S5,2020,4,18,22,17,40,45.414433,-71.866386,282.89999,12,38.9,9.4,60,614.4,2770,0.052192,16,10,9,23,UE,0.33,0.47,,,,
S6,2020,4,18,22,17,42,45.414558,-71.866417,284.20001,12,38.9,9.4,60,614.4,1621,0.417535,188,92,70,317,UE,0.21,0.37,,,,
S1,2020,4,18,22,17,45,45.414639,-71.866417,284,12,38.9,9.4,60,614.4,2262,8.154975,5462,2269,1615,8708,OK,0.15,0.31,,,,
S2,2020,4,18,22,17,47,45.414749,-71.866417,283.20001,12,38.8,9.3,60,614.4,2615,4.371067,3408,1378,1002,5614,OK,0.14,,,,,
S3,2020,4,18,22,17,49,45.414833,-71.866409,280.10001,12,38.8,9.3,60,614.4,2094,0.548014,142,85,62,265,UE,0.29,0.46,,,,
S4,2020,4,18,22,17,52,45.414959,-71.866409,278.70001,12,38.8,9.3,60,614.4,1883,3.366374,1667,710,438,2777,OK,0.15,0.32,,,,
S5,2020,4,18,22,17,54,45.415039,-71.866417,278.39999,12,38.9,9.3,60,614.4,1634,0.534966,240,122,100,434,OK,0.23,0.38,,,,
S6,2020,4,18,22,17,57,45.415157,-71.866432,278.39999,12,38.8,9.3,60,614.4,1792,0.13048,42,23,17,72,UE,0.25,0.42,,,,
S1,2020,4,18,22,17,59,45.415234,-71.866432,277.70001,12,38.8,9.2,60,614.4,2610,0.026096,6,4,3,11,UE,0.33,0.5,,,,
S2,2020,4,18,22,18,2,45.415356,-71.866447,277,12,38.9,9.3,60,614.4,2034,0.169623,104,44,30,166,UE,0.16,0.32,,,,
S3,2020,4,18,22,18,4,45.41544,-71.866455,276.60001,12,38.8,9.2,60,614.4,1837,0.404487,155,85,71,238,UE,0.26,0.42,,,,
S4,2020,4,18,22,18,7,45.415531,-71.866463,277.20001,12,38.8,9.2,60,614.4,1638,0.365343,175,84,65,279,UE,0.2,0.36,,,,
S5,2020,4,18,22,18,9,45.415661,-71.86647,278.20001,12,38.8,9.2,60,614.4,2491,0.495822,128,81,65,219,UE,0.32,0.48,,,,
S6,2020,4,18,22,18,11,45.415745,-71.866478,278.39999,12,38.8,9.1,60,614.4,2163,0.026096,12,7,6,20,UE,0.29,0.44,,,,
