wavelength,relativeIntensity
541.0,0.959208
541.5,0.961812001
542.0,0.964416003
542.5,0.967020005
543.0,0.969624007
543.5,0.972228009
544.0,0.97483201
544.5,0.977436012
545.0,0.980040014
545.5,0.981531012
546.0,0.98302201
546.5,0.984513009
547.0,0.986004007
547.5,0.987495005
548.0,0.988986003
548.5,0.990477002
549.0,0.991968
549.5,0.993458998
550.0,0.994949996
550.5,0.995464998
551.0,0.99598
551.5,0.996495003
552.0,0.997010005
552.5,0.997525007
553.0,0.998040009
553.5,0.998555011
554.0,0.999070013
554.5,0.999585015
555.0,1.000100017
555.5,0.999590015
556.0,0.999080014
556.5,0.998570013
557.0,0.998060012
557.5,0.997550011
558.0,0.997040009
558.5,0.996530008
559.0,0.996020007
559.5,0.995510006
560.0,0.995000005
560.5,0.993375003
561.0,0.991750002
561.5,0.990125
562.0,0.988499999
562.5,0.986874998
563.0,0.985249996
563.5,0.983624995
564.0,0.981999993
564.5,0.980374992
565.0,0.97874999
565.5,0.976074994
566.0,0.973399997
566.5,0.970725
567.0,0.968050003
567.5,0.965375006
568.0,0.962700009
568.5,0.960025012
569.0,0.957350016
569.5,0.954675019
570.0,0.952000022
570.5,0.948358017
571.0,0.944716012
571.5,0.941074008
572.0,0.937432003
572.5,0.933789998
573.0,0.930147994
573.5,0.926505989
574.0,0.922863984
574.5,0.919221979
575.0,0.915579975
575.5,0.911021978
576.0,0.906463981
576.5,0.901905984
577.0,0.897347987
577.5,0.89278999
578.0,0.888231993
578.5,0.883673996
579.0,0.879115999
579.5,0.874558002
580.0,0.870000005
580.5,0.864623004
581.0,0.859246004
581.5,0.853869003
582.0,0.848492002
582.5,0.843115002
583.0,0.837738001
583.5,0.832361001
584.0,0.826984
584.5,0.821607
585.0,0.816229999
585.5,0.810307002
586.0,0.804384005
586.5,0.798461008
587.0,0.792538011
587.5,0.786615014
588.0,0.780692017
588.5,0.77476902
589.0,0.768846023
589.5,0.762923026
590.0,0.757000029
590.5,0.750783026
591.0,0.744566023
591.5,0.73834902
592.0,0.732132018
592.5,0.725915015
593.0,0.719698012
593.5,0.713481009
594.0,0.707264006
594.5,0.701047003
595.0,0.69483
595.5,0.688446999
596.0,0.682063997
596.5,0.675680995
597.0,0.669297993
597.5,0.662914991
598.0,0.65653199
598.5,0.650148988
599.0,0.643765986
599.5,0.637382984
600.0,0.630999982
600.5,0.624553984
601.0,0.618107986
601.5,0.611661988
602.0,0.605215991
602.5,0.598769993
603.0,0.592323995
603.5,0.585877997
604.0,0.579431999
604.5,0.572986001
605.0,0.566540003
605.5,0.560186005
606.0,0.553832006
606.5,0.547478008
607.0,0.54112401
607.5,0.534770012
608.0,0.528416014
608.5,0.522062016
609.0,0.515708017
609.5,0.509354019
610.0,0.503000021
610.5,0.49687202
611.0,0.490744019
611.5,0.484616017
612.0,0.478488016
612.5,0.472360015
613.0,0.466232014
613.5,0.460104012
614.0,0.453976011
614.5,0.44784801
615.0,0.441720009
615.5,0.435648009
616.0,0.42957601
616.5,0.42350401
617.0,0.41743201
617.5,0.411360011
618.0,0.405288011
618.5,0.399216011
619.0,0.393144011
619.5,0.387072012
620.0,0.381000012
620.5,0.374952012
621.0,0.368904012
621.5,0.362856013
622.0,0.356808013
622.5,0.350760013
623.0,0.344712013
623.5,0.338664013
624.0,0.332616013
624.5,0.326568013
625.0,0.320520014
625.5,0.314968011
626.0,0.309416008
626.5,0.303864005
627.0,0.298312002
627.5,0.29276
628.0,0.287207997
628.5,0.281655994
629.0,0.276103991
629.5,0.270551988
630.0,0.264999986
630.5,0.260201988
631.0,0.25540399
631.5,0.250605991
632.0,0.245807993
632.5,0.241009995
633.0,0.236211997
633.5,0.231413999
634.0,0.226616001
634.5,0.221818003
635.0,0.217020005
635.5,0.212818004
636.0,0.208616003
636.5,0.204414003
637.0,0.200212002
637.5,0.196010001
638.0,0.191808
638.5,0.187605999
639.0,0.183403999
639.5,0.179201998
640.0,0.174999997
640.5,0.171311997
641.0,0.167623997
641.5,0.163935997
642.0,0.160247996
642.5,0.156559996
643.0,0.152871996
643.5,0.149183996
644.0,0.145495996
644.5,0.141807996
645.0,0.138119996
645.5,0.135007996
646.0,0.131895997
646.5,0.128783997
647.0,0.125671998
647.5,0.122559998
648.0,0.119447999
648.5,0.116335999
649.0,0.113224
649.5,0.110112
650.0,0.107000001
650.5,0.104465201
651.0,0.101930401
651.5,0.099395601
652.0,0.096860801
652.5,0.094326001
653.0,0.091791201
653.5,0.089256401
654.0,0.086721601
654.5,0.084186801
655.0,0.081652001
655.5,0.079586801
656.0,0.077521601
656.5,0.075456401
657.0,0.073391201
657.5,0.071326001
658.0,0.069260801
658.5,0.067195601
659.0,0.065130401
659.5,0.063065201
660.0,0.061000001
660.5,0.0593327
661.0,0.0576654
661.5,0.0559981
662.0,0.0543308
662.5,0.052663499
663.0,0.050996199
663.5,0.049328899
664.0,0.047661599
664.5,0.045994299
665.0,0.044326998
665.5,0.043094299
666.0,0.041861599
666.5,0.040628899
667.0,0.0393962
667.5,0.0381635
668.0,0.0369308
668.5,0.035698101
669.0,0.034465401
669.5,0.033232701
670.0,0.032000002
670.5,0.031145401
671.0,0.030290801
671.5,0.029436201
672.0,0.028581601
672.5,0.027727
673.0,0.0268724
673.5,0.0260178
674.0,0.0251632
674.5,0.0243086
675.0,0.023453999
675.5,0.022808599
676.0,0.0221632
676.5,0.0215178
677.0,0.0208724
677.5,0.020227
678.0,0.0195816
678.5,0.0189362
679.0,0.018290801
679.5,0.017645401
680.0,0.017000001
680.5,0.016487201
681.0,0.015974401
681.5,0.015461601
682.0,0.014948801
682.5,0.014436
683.0,0.0139232
683.5,0.0134104
684.0,0.0128976
684.5,0.0123848
685.0,0.011872
685.5,0.0115058
686.0,0.0111396
686.5,0.0107734
687.0,0.0104072
687.5,0.010041
688.0,0.0096748
688.5,0.0093086
689.0,0.0089424
689.5,0.0085762
690.0,0.00821
690.5,0.00796623
691.0,0.00772246
691.5,0.00747869
692.0,0.00723492
692.5,0.00699115
693.0,0.00674738
693.5,0.00650361
694.0,0.00625984
694.5,0.00601607
695.0,0.0057723
695.5,0.00560527
696.0,0.00543824
696.5,0.00527121
697.0,0.00510418
697.5,0.00493715
698.0,0.00477012
698.5,0.00460309
699.0,0.00443606
699.5,0.00426903
700.0,0.004102
700.5,0.0039848
701.0,0.0038676
701.5,0.0037504
702.0,0.0036332
702.5,0.003516
703.0,0.0033988
703.5,0.0032816
704.0,0.0031644
704.5,0.0030472
705.0,0.00293
705.5,0.002846
706.0,0.002762
706.5,0.002678
707.0,0.002594
707.5,0.00251
708.0,0.002426
708.5,0.002342
709.0,0.002258
709.5,0.002174
710.0,0.00209
710.5,0.002029
711.0,0.001968
711.5,0.001907
712.0,0.001846
