Capteurs,Date,,,Heure,,,Longitude,Latitude,Altitude,,,,,,,,R,G,B,Clear,,,,,,,,,
S1,2019,10,30,4,42,55,45.381237,-71.92688,263.10001,21,66.6,11,60,614.4,2630,26.069822,4754,3301,2280,9188,OK,,,,,,,,
S2,2019,10,30,4,42,59,45.381271,-71.926888,261.70001,21,66.6,11,60,614.4,2182,17.471218,3630,2285,1487,6887,OK,,,,,,,,
S1,2019,10,30,4,43,2,45.381306,-71.92688,260.89999,21,66.6,11,60,614.4,3169,4.984321,1132,780,657,2038,OK,,,,,,,,
S2,2019,10,30,4,43,5,0,0,0,0,66.6,11,60,614.4,1717,10.973334,4963,2238,1475,7821,OK,,,,,,,,
S1,2019,10,30,4,43,8,45.381351,-71.92691,261.20001,22,66.5,11,60,614.4,2545,0.443631,150,91,82,230,OK,,,,,,,,
S2,2019,10,30,4,43,11,45.381355,-71.926903,261,22,66.5,11,60,614.4,1625,10.555799,4016,1916,1245,6861,OK,,,,,,,,
S1,2019,10,30,4,43,15,45.381355,-71.926865,261.20001,21,66.5,11,60,614.4,3081,0.091336,18,13,10,34,OK,,,,,,,,
S2,2019,10,30,4,43,18,45.381393,-71.926788,261.10001,22,66.5,11,60,614.4,2066,0.548014,143,85,62,259,OK,,,,,,,,
S1,2019,10,30,4,43,21,45.381447,-71.926674,261.10001,22,66.6,11,60,614.4,2692,0.06524,23,14,13,40,OK,,,,,,,,
S2,2019,10,30,4,43,24,45.381474,-71.926544,260.79999,22,66.6,11,60,614.4,1885,0.365343,147,81,71,218,OK,,,,,,,,
S1,2019,10,30,4,43,27,45.381481,-71.92643,260.39999,22,66.5,11,60,614.4,2267,1.239556,568,323,314,966,OK,,,,,,,,
S2,2019,10,30,4,43,31,45.381519,-71.926346,260.20001,22,66.5,11,60,614.4,1830,5.780246,1885,1041,803,3240,OK,,,,,,,,
S1,2019,10,30,4,43,34,45.381607,-71.926338,259.29999,23,66.4,11,60,614.4,2149,0.156576,69,39,37,112,OK,,,,,,,,
S2,2019,10,30,4,43,37,45.381733,-71.926353,257.89999,23,66.3,11,60,614.4,2689,5.832438,4756,1926,1432,7386,OK,,,,,,,,
S1,2019,10,30,4,43,40,45.381786,-71.926361,257.29999,23,66.3,11,60,614.4,2642,0.195719,59,37,32,98,OK,,,,,,,,
S2,2019,10,30,4,43,44,45.38184,-71.926422,256.60001,22,66.3,11,60,614.4,1622,0.234863,108,54,43,167,OK,,,,,,,,
S1,2019,10,30,4,43,47,45.381863,-71.926559,256.29999,22,66.3,11,60,614.4,2574,0.13048,38,24,20,69,OK,,,,,,,,
S2,2019,10,30,4,43,50,45.381866,-71.92675,256,23,66.2,11,60,614.4,1635,0.417535,204,104,89,297,OK,,,,,,,,
S1,2019,10,30,4,43,53,45.38187,-71.927002,255,23,66.3,11,60,614.4,2667,0.13048,34,22,18,59,OK,,,,,,,,
S2,2019,10,30,4,43,56,45.38187,-71.927162,254.7,23,66.4,11,60,614.4,1742,12.787001,6151,2769,1903,10119,OK,,,,,,,,
S1,2019,10,30,4,44,0,45.38187,-71.927299,254.10001,23,66.4,11,60,614.4,2476,0.078288,22,14,11,40,OK,,,,,,,,
S2,2019,10,30,4,44,3,45.381878,-71.927437,253.3,23,66.5,11,60,614.4,2139,0.287055,100,58,50,153,OK,,,,,,,,
S1,2019,10,30,4,44,6,0,0,0,0,66.6,11,60,614.4,2610,0.052192,12,8,6,23,OK,,,,,,,,
S2,2019,10,30,4,44,9,45.381882,-71.927864,251.3,23,66.7,11,60,614.4,2855,1.056885,903,360,265,1382,OK,,,,,,,,
S1,2019,10,30,4,44,12,45.381886,-71.928017,251.10001,23,66.8,11,60,614.4,2894,0.052192,13,9,7,26,OK,,,,,,,,
S2,2019,10,30,4,44,16,45.381886,-71.928123,250.8,23,66.8,11,60,614.4,3984,0.887261,1075,400,292,1636,OK,,,,,,,,
S1,2019,10,30,4,44,19,45.381859,-71.9282,250.3,22,66.9,11,60,614.4,2484,2.218153,636,393,333,1116,OK,,,,,,,,
S2,2019,10,30,4,44,22,0,0,0,0,66.9,11,60,614.4,1712,5.323567,1564,833,545,2810,OK,,,,,,,,
S1,2019,10,30,4,44,25,45.381706,-71.928253,249.89999,23,66.9,11,60,614.4,2584,0.091336,25,16,13,45,OK,,,,,,,,
S2,2019,10,30,4,44,28,45.381634,-71.928246,249.7,23,67,11,60,614.4,1881,4.397162,2479,1092,794,4016,OK,,,,,,,,
S1,2019,10,30,4,44,32,45.381554,-71.928246,249.39999,23,67.1,11,60,614.4,2261,0.234863,91,53,48,143,OK,,,,,,,,
S2,2019,10,30,4,44,35,45.381474,-71.928246,249.2,23,67.2,11,60,614.4,1621,2.544352,982,475,322,1725,OK,,,,,,,,
S1,2019,10,30,4,44,38,45.381359,-71.928238,249.5,23,67.4,11,60,614.4,2324,0.156576,58,34,31,93,OK,,,,,,,,
S2,2019,10,30,4,44,41,45.381275,-71.928238,249.7,23,67.6,11,60,614.4,1740,1.396132,452,243,176,790,OK,,,,,,,,
