350 0.00E+00 0.00E+00 0.00E+00 2.98E+09
370 0.00E+00 0.00E+00 8.25E+08 8.25E+08
390 1.16E+09 3.87E+08 1.93E+09 3.87E+09
410 2.49E+09 9.04E+08 8.36E+09 1.20E+10
430 1.16E+09 1.59E+09 1.23E+10 1.59E+10
450 3.09E+08 2.48E+09 1.48E+10 1.81E+10
470 2.35E+08 5.87E+09 1.69E+10 2.16E+10
490 3.70E+08 7.83E+09 1.50E+10 2.39E+10
510 9.00E+08 1.41E+10 9.79E+09 2.51E+10
530 2.57E+09 2.01E+10 4.50E+09 2.62E+10
550 2.49E+09 1.84E+10 3.14E+09 2.69E+10
570 7.68E+09 1.18E+10 1.95E+09 2.66E+10
590 1.71E+10 4.21E+09 2.10E+09 2.40E+10
610 1.71E+10 1.05E+09 1.66E+09 1.89E+10
630 1.18E+10 5.86E+08 1.25E+09 1.21E+10
650 6.03E+09 3.42E+08 9.83E+08 6.07E+09
670 4.89E+09 4.18E+08 9.61E+08 4.89E+09
690 4.83E+09 7.13E+08 1.03E+09 4.83E+09
710 4.80E+09 9.24E+08 1.06E+09 4.84E+09
730 4.92E+09 9.74E+08 9.23E+08 4.92E+09
750 5.00E+09 1.63E+09 9.38E+08 5.00E+09
770 5.07E+09 2.06E+09 1.11E+09 4.99E+09
790 5.25E+09 2.47E+09 2.99E+09 5.25E+09
810 5.65E+09 3.50E+09 4.98E+09 5.65E+09
830 5.91E+09 4.69E+09 5.56E+09 5.73E+09
850 6.13E+09 5.26E+09 5.91E+09 5.91E+09
870 6.14E+09 5.86E+09 6.14E+09 6.14E+09
890 6.53E+09 6.20E+09 6.20E+09 6.53E+09
910 6.73E+09 6.34E+09 6.34E+09 6.34E+09
930 6.38E+09 6.38E+09 6.38E+09 6.38E+09
950 6.15E+09 6.15E+09 6.15E+09 6.15E+09
970 6.17E+09 5.40E+09 5.40E+09 6.17E+09
990 4.82E+09 4.82E+09 4.82E+09 4.82E+09
