r/g_moy	b/g_moy	tech
2.38	0.43	PCA1650
2.72	0.67	HPS
5.43	0.64	LED1500
0.87	0.98	MH4000
0.91	0.56	MV
2.14	0.62	LED2800
1.85	0.56	LED2250
1.86	0.68	LED2750
0.81	0.51	LED3500
1.03	0.65	LED4000
0.83	0.84	LED5500
3.09	0.82	INC2550
1.66	0.70	CFL2500
1.27	0.89	CFL5000
3.65	0.49	PCA1800
2.17	0.60	LED2550
1.87	0.70	LED3100
2.82	0.66	LED2300
1.10	0.75	CFL4000
1.04	0.98	CFL6200
1.21	0.89	LED4950
1.90	0.70	LED2950

