S1,2020,3,10,23,0,28,45.421024,-71.872169,263.60001,11,35.6,17,1,2.4,4789,1821386.6,15263,14297,11644,39004,OK,,,,,
S4,2020,3,10,23,0,30,45.421024,-71.872162,263.70001,11,35.6,17,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,32,45.421021,-71.872169,263.39999,11,35.7,16.7,1,2.4,4795,1855657.9,15484,14538,11832,39627,OK,,,,,
S4,2020,3,10,23,0,33,45.421017,-71.872162,263.29999,11,35.7,16.7,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,35,45.421013,-71.872162,263.20001,11,35.6,16.6,1,2.4,4791,1830004.5,15348,14373,11711,39275,OK,,,,,
S4,2020,3,10,23,0,37,45.421013,-71.872162,262.89999,11,35.6,16.6,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,39,45.421013,-71.872169,263.20001,11,35.7,16.6,1,2.4,4769,1769077.9,15024,13971,11403,38431,OK,,,,,
S4,2020,3,10,23,0,40,45.421013,-71.872169,263.29999,11,35.7,16.6,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,42,45.421013,-71.872169,263.29999,11,35.7,16.6,1,2.4,4777,1766071.6,15004,13956,11400,38328,OK,,,,,
S4,2020,3,10,23,0,44,45.421013,-71.872169,263.10001,11,35.7,16.6,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,46,45.421009,-71.872169,262.79999,11,35.7,16.6,1,2.4,4775,1775892,15068,14023,11449,38523,OK,,,,,
S4,2020,3,10,23,0,47,45.421009,-71.872169,262.60001,11,35.7,16.6,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,49,45.421013,-71.872162,262.5,11,35.7,16.5,1,2.4,4832,1947649.1,16110,15218,12393,41540,OE,,,,,
S4,2020,3,10,23,0,51,45.421013,-71.872169,262.39999,11,35.7,16.5,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,53,45.421013,-71.872169,262.39999,11,35.7,16.5,614.4,2.4,4773,2863.7009,14943,13899,11349,38207,OK,,,,,
S4,2020,3,10,23,0,54,45.421017,-71.872169,262.29999,11,35.7,16.5,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,0,56,45.421013,-71.872169,262.29999,11,35.7,16.4,614.4,2.4,4705,2300.0291,12775,11508,9516,32269,OK,,,,,
