Lambda,Intensity
432.5,3.94E-07
433,4.89E-07
433.5,0.00E+00
434,5.80E-07
434.5,1.39E-06
435,1.47E-06
435.5,1.20E-06
436,4.76E-07
436.5,0.00E+00
437,0.00E+00
437.5,0.00E+00
438,7.04E-07
438.5,4.22E-06
439,8.39E-06
439.5,9.10E-06
440,6.65E-06
440.5,1.76E-06
441,0.00E+00
441.5,0.00E+00
442,0.00E+00
442.5,1.35E-06
443,3.39E-06
443.5,6.00E-06
444,1.03E-05
444.5,1.12E-05
445,8.82E-06
445.5,6.78E-06
446,6.31E-06
446.5,8.09E-06
447,7.14E-06
447.5,3.92E-06
448,1.09E-06
448.5,0.00E+00
449,6.02E-07
449.5,4.23E-07
450,0.00E+00
450.5,0.00E+00
451,0.00E+00
451.5,0.00E+00
452,1.28E-07
452.5,2.13E-06
453,4.51E-06
453.5,3.97E-06
454,5.56E-06
454.5,5.62E-06
455,7.51E-06
455.5,1.10E-05
456,1.15E-05
456.5,1.18E-05
457,9.44E-06
457.5,5.26E-06
458,2.44E-06
458.5,3.03E-07
459,0.00E+00
459.5,0.00E+00
460,8.44E-08
460.5,3.16E-06
461,3.12E-06
461.5,6.93E-07
462,5.03E-07
462.5,1.14E-06
463,3.14E-06
463.5,1.82E-06
464,0.00E+00
464.5,0.00E+00
465,0.00E+00
465.5,0.00E+00
466,0.00E+00
466.5,1.49E-06
467,2.73E-06
467.5,1.31E-06
468,1.66E-07
468.5,9.31E-07
469,2.72E-06
469.5,2.01E-06
470,0.00E+00
470.5,0.00E+00
471,0.00E+00
471.5,5.65E-07
472,2.38E-06
472.5,2.30E-06
473,3.26E-07
473.5,0.00E+00
474,0.00E+00
474.5,0.00E+00
475,0.00E+00
475.5,2.48E-08
476,1.61E-06
476.5,3.40E-06
477,5.66E-06
477.5,6.52E-06
478,7.26E-06
478.5,9.27E-06
479,9.03E-06
479.5,8.34E-06
480,4.95E-06
480.5,1.19E-06
481,8.00E-08
481.5,0.00E+00
482,3.20E-07
482.5,4.97E-08
483,0.00E+00
483.5,0.00E+00
484,3.41E-08
484.5,1.31E-06
485,3.35E-06
485.5,3.56E-06
486,3.18E-06
486.5,2.45E-06
487,2.66E-06
487.5,3.57E-06
488,2.63E-06
488.5,1.88E-06
489,3.12E-07
489.5,1.20E-07
490,1.85E-06
490.5,1.55E-06
491,1.28E-06
491.5,2.83E-07
492,9.81E-08
492.5,9.18E-07
493,1.19E-06
493.5,1.14E-06
494,1.58E-06
494.5,1.83E-06
495,1.96E-06
495.5,1.26E-06
496,1.74E-08
496.5,9.21E-07
497,1.45E-06
497.5,1.30E-06
498,2.57E-07
498.5,0.00E+00
499,0.00E+00
499.5,0.00E+00
500,2.04E-07
500.5,1.35E-06
501,1.48E-07
501.5,0.00E+00
502,0.00E+00
502.5,0.00E+00
503,1.56E-07
503.5,4.24E-07
504,0.00E+00
504.5,0.00E+00
505,0.00E+00
505.5,6.23E-07
506,2.37E-06
506.5,9.65E-07
507,2.40E-06
507.5,2.66E-06
508,2.20E-06
508.5,1.62E-06
509,1.53E-06
509.5,3.84E-06
510,4.87E-06
510.5,4.85E-06
511,2.71E-06
511.5,5.34E-07
512,3.99E-07
512.5,8.65E-07
513,1.97E-06
513.5,5.01E-07
514,1.17E-07
514.5,8.48E-08
515,9.40E-07
515.5,9.00E-07
516,1.43E-08
516.5,0.00E+00
517,0.00E+00
517.5,0.00E+00
518,0.00E+00
518.5,0.00E+00
519,1.74E-07
519.5,1.90E-06
520,3.82E-06
520.5,3.93E-06
521,3.61E-06
521.5,3.29E-06
522,3.69E-06
522.5,4.23E-06
523,4.22E-06
523.5,3.62E-06
524,2.94E-06
524.5,2.37E-06
525,2.14E-06
525.5,3.04E-06
526,3.40E-06
526.5,4.93E-06
527,4.81E-06
527.5,6.14E-06
528,7.05E-06
528.5,9.78E-06
529,1.06E-05
529.5,1.32E-05
530,1.47E-05
530.5,1.48E-05
